"%s: Bad command line argument(s)\n";"%s: لخدملا رمالا يف أطخ\n"
": Exceptional Leonid rate";")ربمفون 71 ةيلاعلا كزاينلا ةكرح( dinoeL دنويلل يئانثتسالا لدعملا :"
": Highest rate ever (1966 Leonids)";")sdinoeL 6691( هتيئور قبس لدعم ىلعأ :"
": Normal rate";"يعيبطلا لدعملا :"
": Standard Perseids rate";""
"A'a";""
"APR";""
"AU";"ةيكلف ةدحو"
"AUG";""
"Abhijeet";""
"About";"جمانربلا لوح"
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";""
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";""
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";""
"Alt/Az: ";" :يئاوتسا /يتمس"
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";" :)رتم( عافترإلا"
"Altitude : ";" :عافترإلا"
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"ةلسلسملا ةارملا"
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"ءاوهلا ةغرفم"
"Anuradha";""
"Apus";"سودرفلا رئاط"
"Aquarius";"ولدلا"
"Aquila";"باقعلا"
"Ara";"ةرمجملا"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"لمحلا"
"Arkab";""
"Arneb";""
"Arrow Keys";"مهسألا حيتافم"
"Arrow down to load list.";""
"Arsenal";""
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"يوجلا فالغلا"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"ةنعألا كسمم"
"Aurvandil's Toe";""
"Author: ";""
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"ةيتمسلا ةكبشلا"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";"فلخلا ىلا ةعاس 42 ةدوعلا"
"Back 7 Days";"فلخلا ىلا مايا 7 ةدوعلا"
"Bailer";""
"Banner of Three Stars";""
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
