"%s: Bad command line argument(s)\n";"%s: Argument(s) erronis a la línia d'ordres\n"
": Exceptional Leonid rate";": Ràtio Leònides excepcional"
": Highest rate ever (1966 Leonids)";": Ràtio més gran (1966 Leònides)"
": Normal rate";": Ràtio normal"
": Standard Perseids rate";": Ràtio de Perseides estàndard"
"A'a";"Altar"
"APR";""
"AU";"UA"
"AUG";"UA"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Altar"
"Acrux";"Creu del Sud"
"Actual Time";"Temps Actual"
"Acubens";""
"Adhafera";""
"Adhara";"Altar"
"Adhil";""
"Administration ";"Administració "
"Adrastea";"Arsenal"
"After shift key '`' (backtick):";""
"Agni";"Màquina Pneumàtica"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Màquina Pneumàtica"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Màquina Pneumàtica"
"Algol";""
"Algorab";"Altar"
"Alhena";"Arsenal"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Àries"
"Almaak";""
"Alnair";""
"Alnasl";"Màquina Pneumàtica"
"Alnath";""
"Alnilam";"Àguila"
"Alnitak";"Màquina Pneumàtica"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Àries"
"Alrescha";"Àries"
"Alshain";""
"Also display Nebulas without textures";"Mostra també Nebuloses sense textures"
"Alt/Az: ";"Az/Alt: "
"Altair";"Estrella"
"Altais";""
"Alterf";""
"Altitude (m): ";"Altitud (m): "
"Altitude : ";"Altitud : "
"Aludra";"Altar"
"Alula Australis";"Corona Austral"
"Alula Borealis";"Corona Boreal"
"Alya";"Àguila"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Andròmeda"
"Angira";"Altar"
"Animal";"Màquina Pneumàtica"
"Ankaa";""
"Ant Nebula";"Màquina Pneumàtica"
"Antares";"Estels"
"Antialias Lines: ";""
"Antlia";"Màquina Pneumàtica"
"Anuradha";""
"Apus";"Au del Paradís"
"Aquarius";"Aquari"
"Aquila";"Àguila"
"Ara";"Altar"
"Arcturus";"Aquari"
"Ardra";"Altar"
"Are you sure ?";""
"Ariel";"Àries"
"Aries";"Àries"
"Arkab";"Altar"
"Arneb";"Àries"
"Arrow Keys";""
"Arrow down to load list.";"Fletxa abaix per carregar la llista."
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Corona Austral"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Àries"
"Asterope";""
"Atik";"Màquina Pneumàtica"
"Atlas";"Màquina Pneumàtica"
"Atmosphere";"Atmosfera"
"Atri";"Àries"
"Atria";"Altar"
"Augutsya";""
"Auriga";"Cotxer"
"Aurvandil's Toe";""
"Author: ";"Autor: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Quadrícula Altazimutal"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Buidador"
"Banner of Three Stars";"Pancarta de les Tres Estrelles"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Ocell"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Caront"
"Bharni";"Caront"
"Bianca";""
"Biham";""
"Bird";"Ocell"
"Blubber Container";""
"Boat";"Vaixell"
"Bodies";"Bover"
"Body Labels";"Estels"
"Body Orbits";""
"Body Trails";""
"Bond";"Llaç"
"Bootes";"Bover"
"Botein";"Bover"
"Bow and Arrow";"Arc i Fletxa"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Pota de Brau"
"CD/DVD Script: ";"Guió CD/DVD: "
"CTRL + Left Click";""
"Caelum";"Burí"
"Calendar";""
"Caliban";"Quilla"
"California Nebula";""
"Callisto";"Cal·listo"
"Camelopardalis";"Girafa"
"Campbell's Star";""
"Cancel";"Cancel·lar"
"Cancer";"Cranc"
"Canes Venatici";"Llebrers"
"Canis Major";"Ca Major"
"Canis Minor";"Ca Menor"
"Canopus";"Urà"
"Capella";"Burí"
"Caph";""
"Capricornus";"Capricorni"
"Cardinal Points";"Punts cardinals"
"Cared for by Moon";"Cuidat per la Lluna"
"Caribou";"Carro"
"Carina";"Quilla"
"Carme";""
"Cassiopeia";"Cassiopea"
"Cassiopeia A";"Cassiopea"
"Castor";"Cal·listo"
"Cat's Cradle";"Bressol del Gat"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Centaure"
"Center on selected object";"Vés a l’objecte seleccionat [ESPAI]"
"Cepheus";"Cefeu"
"Ceres";"Cefeu"
"Cetus";"Balena"
"Chamaeleon";"Camaleó"
"Chara";"Caront"
"Chariot";"Carro"
"Chariot Yard";"Pati de Carros"
"Charon";"Caront"
"Chematy";"Txematy"
"Chertan";"Caront"
"Chi & h Per";""
"Chinese";"Xinesa"
"Chitra";"Carro"
"Choose landscapes:";"Tria paisatge:"
"Circinus";"Compàs"
"Circular Granary";"Graner Circular"
"Circumpolar Circle";"Cercles de Nebuloses"
"Clouds";"Corb"
"Coiled Thong";"Corretga Cargolada"
"Collarbones";"Línies de les Constel·lacions"
"Columba";"Coloma"
"Coma Berenices";"Cabellera de Berenice"
"Comets";"Balena"
"Command recording stopped.";"S'ha aturat l'enregistrament d'ordres."
"Configuration";"Configuració"
"Constellation Art";"Dibuix de les Constel·lacions [R]"
"Constellation Art Intensity";"Intensitat Dibuix Constel·lacions"
"Constellation Boundaries";"Límits de les Constel·lacions"
"Constellation Labels";"Nom de Constel·lacions"
"Constellation Lines";"Línies de les Constel·lacions"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Corona Austral"
"Corona Borealis";"Corona Boreal"
"Correct for light travel time: ";""
"Corvus";"Corb"
"Crater";"Copa"
"Crocodile";"Cocodril"
"Crux";"Creu del Sud"
"Cujam";""
"Cupid";""
"Current Time :";"Temps Actual:"
"Current Time Speed is x";"Velocitat del Temps Actual es x"
"Cursa";"Balena"
"Cursor Timeout: ";"Temps d'espera del Cursor: "
