"%s: Bad command line argument(s)\n";"%s: Nesprávný argument(y) příkazové řádky.\n"
": Exceptional Leonid rate";"Vyjímečná četnost Leonid"
": Highest rate ever (1966 Leonids)";"Nejvyšší zaznamenaná četnost (Leonidy 1996)"
": Normal rate";": Normální četnost"
": Standard Perseids rate";": Standardní četnost Perseid"
"A'a";"Oltář"
"APR";""
"AUG";"AU"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Oltář"
"Acrux";"Jižní kříž"
"Actual Time";"Aktuální čas"
"Acubens";""
"Adhafera";""
"Adhara";"Oltář"
"Adhil";""
"Administration ";"Administrace "
"Adrastea";"Zbrojnice"
"After shift key '`' (backtick):";""
"Agni";"Vývěva"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Vývěva"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Vývěva"
"Algol";""
"Algorab";"Oltář"
"Alhena";"Zbrojnice"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Beran"
"Almaak";""
"Alnair";""
"Alnasl";"Vývěva"
"Alnath";""
"Alnilam";"Orel"
"Alnitak";"Vývěva"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Beran"
"Alrescha";"Beran"
"Alshain";""
"Also display Nebulas without textures";"Zobrazovat i mlhoviny bez textur"
"Alt/Az: ";"Azimut/Výška: "
"Altair";"Hvězda"
"Altais";""
"Alterf";""
"Altitude (m): ";"Nadm. výška (m): "
"Altitude : ";"Nadmořská výška : "
"Aludra";"Oltář"
"Alula Australis";"Jižní koruna"
"Alula Borealis";"Severní koruna"
"Alya";"Orel"
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";"Oltář"
"Animal";"Vývěva"
"Ankaa";""
"Ant Nebula";"Vývěva"
"Antares";"Hvězdy"
"Antialias Lines: ";""
"Antlia";"Vývěva"
"Anuradha";""
"Apus";"Rajka"
"Aquarius";"Vodnář"
"Aquila";"Orel"
"Ara";"Oltář"
"Arcturus";"Vodnář"
"Ardra";"Oltář"
"Are you sure ?";""
"Ariel";"Beran"
"Aries";"Beran"
"Arkab";"Oltář"
"Arneb";"Beran"
"Arrow Keys";""
"Arrow down to load list.";"Stikněte šipku dolů pro načtení seznamu."
"Arsenal";"Zbrojnice"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Jižní koruna"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Beran"
"Asterope";""
"Atik";"Vývěva"
"Atlas";"Vývěva"
"Atmosphere";"Atmosféra"
"Atri";"Beran"
"Atria";"Oltář"
"Augutsya";""
"Auriga";"Vozka"
"Aurvandil's Toe";""
"Author: ";"Autor: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutální mřížka"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Výlevka"
"Banner of Three Stars";"Prapor se třemi hvězdami"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Pták"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Charon"
"Bharni";"Charon"
"Bianca";""
"Biham";""
"Bird";"Pták"
"Blubber Container";""
"Boat";"Loď"
"Bodies";"Pastevec"
"Body Labels";"Hvězdy"
"Body Orbits";""
"Body Trails";""
"Bond";"Okovy"
"Bootes";"Pastevec"
"Botein";"Pastevec"
"Bow and Arrow";"Luk a šíp"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Přední noha býka"
"CD/DVD Script: ";"CD/DVD skript: "
"CTRL + Left Click";""
"Caelum";"Rydlo"
"Calendar";""
"Caliban";"Lodní kýl"
"California Nebula";""
"Callisto";"Callistó"
"Camelopardalis";"Žirafa"
"Campbell's Star";""
"Cancel";"Storno"
"Cancer";"Rak"
"Canes Venatici";"Honící psi"
"Canis Major";"Velký pes"
"Canis Minor";"Malý pes"
"Canopus";"Uran"
"Capella";"Rydlo"
"Caph";""
"Capricornus";"Kozoroh"
"Cardinal Points";"Světové strany"
"Cared for by Moon";"Obstaráno Měsícem"
"Caribou";"Válečný vůz"
"Carina";"Lodní kýl"
"Carme";""
"Cassiopeia";"Kasiopea"
"Cassiopeia A";"Kasiopea"
"Castor";"Callistó"
"Cat's Cradle";"Lůžko kočky"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentaur"
"Center on selected object";"Vycentrovat vybraný objekt [SPACE]"
"Cepheus";"Kefeus"
"Ceres";"Kefeus"
"Cetus";"Velryba"
"Chamaeleon";"Chameleón"
"Chara";"Charon"
"Chariot";"Válečný vůz"
"Chariot Yard";"Vozový dvůr"
"Chertan";"Charon"
"Chi & h Per";""
"Chinese";"čínský"
"Chitra";"Válečný vůz"
"Choose landscapes:";"Výběr krajiny:"
"Circinus";"Kružítko"
"Circular Granary";"Kulatá sýpka"
"Circumpolar Circle";"Kroužky mlhovin"
"Clouds";"Havran"
"Coiled Thong";"Svinutý řemen"
"Collarbones";"Ohraničující čáry souhvězdí"
"Colors ";"Barvy "
"Columba";"Holubice"
"Coma Berenices";"Vlasy Bereniky"
"Comets";"Velryba"
"Command recording stopped.";"Záznam příkazů ukončen."
"Configuration";"Nastavení"
"Constellation Art";"Kresby souhvězdí [R]"
"Constellation Art Intensity";"Intenzita obrázků souhvězdí"
"Constellation Boundaries";"Hranice souhvězdí"
"Constellation Labels";"Názvy souhvězdí"
"Constellation Lines";"Ohraničující čáry souhvězdí"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Jižní koruna"
"Corona Borealis";"Severní koruna"
"Correct for light travel time: ";""
"Corvus";"Havran"
"Crater";"Pohár"
"Crocodile";"Krokodýl"
"Crux";"Jižní kříž"
"Cujam";""
