"%s: Bad command line argument(s)\n";"%s: Ugyldig kommandolinie argument\n"
": Exceptional Leonid rate";""
": Highest rate ever (1966 Leonids)";""
": Normal rate";""
": Standard Perseids rate";""
"A'a";"Alteret"
"APR";""
"AU";"AE"
"AUG";"AE"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Alteret"
"Acrux";"Sydkorset"
"Actual Time";""
"Acubens";""
"Adhafera";""
"Adhara";"Alteret"
"Adhil";""
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";"Pumpen"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Pumpen"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Pumpen"
"Algol";""
"Algorab";"Alteret"
"Alhena";"Rhea"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Vædderen"
"Almaak";""
"Alnair";""
"Alnasl";"Pumpen"
"Alnath";""
"Alnilam";"Ørnen"
"Alnitak";"Pumpen"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Vædderen"
"Alrescha";"Vædderen"
"Alshain";""
"Also display Nebulas without textures";""
"Alt/Az: ";"Højde : "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Højde (m): "
"Altitude : ";"Højde : "
"Aludra";"Alteret"
"Alula Australis";"Sydlige Krone"
"Alula Borealis";"Nordlige Krone"
"Alya";"lysår"
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";"Alteret"
"Animal";"Pumpen"
"Ankaa";""
"Ant Nebula";"Tåge"
"Antares";"Stjerner"
"Antialias Lines: ";""
"Antlia";"Pumpen"
"Anuradha";""
"Apus";"Paradisfuglen"
"Aquarius";"Vandmanden"
"Aquila";"Ørnen"
"Ara";"Alteret"
"Arcturus";"Vandmanden"
"Ardra";"Alteret"
"Are you sure ?";""
"Ariel";"Vædderen"
"Aries";"Vædderen"
"Arkab";"Alteret"
"Arneb";"Vædderen"
"Arrow Keys";""
"Arrow down to load list.";""
"Arsenal";""
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Sydlige Krone"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Vædderen"
"Asterope";""
"Atik";"Pumpen"
"Atlas";"Pumpen"
"Atmosphere";"Atmosfære"
"Atri";"Vædderen"
"Atria";"Alteret"
"Augutsya";""
"Auriga";"Kusken"
"Aurvandil's Toe";""
"Author: ";""
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimuthal net"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";""
"Banner of Three Stars";""
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Charon"
"Bharni";"Charon"
"Bianca";""
"Biham";""
"Bird";""
"Blubber Container";""
"Boat";""
"Bodies";"Bootes"
"Body Labels";"Stjerne nr./navn"
"Body Orbits";""
"Body Trails";""
"Bond";""
"Botein";"Bootes"
"Bow and Arrow";""
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";""
"CD/DVD Script: ";"CD/DVD skript: "
"CTRL + Left Click";""
"Caelum";"Gravstikken"
"Calendar";""
"Caliban";"Kølen"
"California Nebula";""
"Camelopardalis";"Giraffen"
"Campbell's Star";""
"Cancel";""
"Cancer";"Krebsen"
"Canes Venatici";"Jagthundene"
"Canis Major";"Store Hund"
"Canis Minor";"Lille Hund"
"Canopus";"Uranus"
"Capella";"Gravstikken"
"Caph";""
"Capricornus";"Stenbukken"
"Cardinal Points";"Verdenshjørner"
"Cared for by Moon";""
"Caribou";"Stenbukken"
"Carina";"Kølen"
"Carme";"Kort tilstand"
"Cassiopeia A";"Cassiopeia"
"Castor";"Callisto"
"Cat's Cradle";""
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentauren"
"Center on selected object";"Gå til valgt objekt [mellemrum]"
"Ceres";"Cepheus"
"Cetus";"Hvalen"
"Chamaeleon";"Kamæleonen"
"Chara";"Charon"
"Chariot";""
"Chariot Yard";""
"Chematy";""
"Chertan";"Charon"
"Chi & h Per";""
"Chinese";""
"Chitra";""
"Choose landscapes:";""
"Circinus";"Passeren"
"Circular Granary";""
"Circumpolar Circle";""
"Clouds";"Ravnen"
"Coiled Thong";""
"Collarbones";"Stjernebilleder"
"Colors ";"Farver "
"Columba";"Duen"
"Coma Berenices";"Berenices Hår"
"Comets";"Hvalen"
"Command recording stopped.";"Registrering af kommandoer stoppet."
"Configuration";"Opsætning"
"Constellation Art";"Stjernebillede illustrationer [R]"
"Constellation Art Intensity";""
"Constellation Boundaries";""
"Constellation Labels";"Navn på stjernebilleder "
"Constellation Lines";""
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Sydlige Krone"
"Corona Borealis";"Nordlige Krone"
"Correct for light travel time: ";""
"Corvus";"Ravnen"
"Crater";"Bægeret"
"Crocodile";""
"Crux";"Sydkorset"
"Cujam";""
"Cupid";""
"Current Time :";"Gældende tid :"
"Current Time Speed is x";"Gældende tid :"
"Cursa";"Hvalen"
"Cursor : ";"Markør : "
"Cursor Timeout: ";""
"Curved Array";""
"Cycle through meteor shower rates";""
"Cygnus";"Svanen"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Dato & Tid"
"Date Display Format: ";"Format for visning af dato: "
"Day";""
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"Accelerer tid [L]"
"Deepsky: ";""
"Deimos ";"Deimos"
"Delphinus";"Delfinen"
"Deneb";"Dione"
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";"Delfinen"
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";""
"Disk Viewport";"Linseformet visning."
"Display Options:";""
"Distance: ";"Afstand "
"Do";"Dione"
"Dog";""
"Dogs";"Dione"
"Dolphin";""
"Done";"Dione"
"Dorado";"Guldfisken"
"Double Bubble";""
"Draco";"Dragen"
"Dried Willow";""
"Drum";""
"Drumstick";""
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";"Planeter"
"Dwarf irregular galaxy";""
"E";"Ø"
"Earth";"Jorden"
"Earth God's Temple";""
