"%s: Bad command line argument(s)\n";"%s: Falsche(s) Kommandozeilen-Argument(e)\n"
": Exceptional Leonid rate";": Standard Leoniden Frequenz"
": Highest rate ever (1966 Leonids)";": Höchste erreichte Frequenz (Leoniden 1966)"
": Normal rate";": Normale Frequenz"
": Standard Perseids rate";": Standard Perseiden Frequenz"
"A'a";""
"APR";""
"AU";"AE"
"AUG";""
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Aktuelle Zeit"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Verwaltung "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Nebel auch ohne Texturen darstellen"
"Alt/Az: ";"Alt : "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Höhenlage (m): "
"Altitude : ";"Höhe : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Luftpumpe"
"Anuradha";""
"Apus";"Paradiesvogel"
"Aquarius";"Wassermann"
"Aquila";"Adler"
"Ara";"Altar"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"Widder"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Pfeil runter um Liste zu laden"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosphäre"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Fuhrmann"
"Aurvandil's Toe";""
"Author: ";"Autor: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutales Gitter"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Bürge"
"Banner of Three Stars";"Drei-Sterne Banner"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Vogel"
"Blubber Container";""
"Boat";"Schiff"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Bindung"
"Bootes";"Bärenhüter"
"Botein";""
"Bow and Arrow";"Pfeil und Bogen"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Vorderbeine des Stiers"
"CD/DVD Script: ";"CD/DVD Skript: "
"CTRL + Left Click";""
"Caelum";"Grabstichel"
"Calendar";""
"Caliban";""
"California Nebula";""
"Callisto";"Kallisto"
"Camelopardalis";"Giraffe"
"Campbell's Star";""
"Cancel";"Abbrechen"
"Cancer";"Krebs"
"Canes Venatici";"Jagdhunde"
"Canis Major";"Großer Hund"
"Canis Minor";"Kleiner Hund"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Steinbock"
"Cardinal Points";"Himmelsrichtungen"
"Cared for by Moon";"umsorgt vom Mond"
"Caribou";""
"Carina";"Kiel des Schiffes"
"Carme";""
"Cassiopeia";"Kassiopeia"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Katzenkorb"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Zentaur"
"Center on selected object";""
"Cepheus";"Kepheus"
"Ceres";""
"Cetus";"Walfisch"
"Chamaeleon";"Chamäleon"
"Chara";""
"Chariot";"Streitwagen"
"Chariot Yard";"Streitwagenplatz"
"Chertan";""
"Chi & h Per";""
"Chinese";"Chinesisch"
"Chitra";""
"Choose landscapes:";"Landschaft auswählen:"
"Circinus";"Zirkel"
"Circular Granary";"runder Getreidespeicher"
"Circumpolar Circle";"Nebelkreise"
"Clouds";"Rabe"
"Coiled Thong";"gedrehter Zapfen"
"Collarbones";""
"Colors ";"Farben "
"Columba";"Taube"
"Coma Berenices";"Haar der Berenike"
"Comets";""
"Command recording stopped.";"Befehlsaufzeichnung beendet."
"Configuration";"Konfiguration"
"Constellation Art";""
"Constellation Art Intensity";"Intensität der Sternenbilddarstellung"
"Constellation Boundaries";"Sternbildgrenzen"
"Constellation Labels";""
"Constellation Lines";"Sternbildlinien"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Südliche Krone"
"Corona Borealis";"Nördliche Krone"
"Correct for light travel time: ";""
"Corvus";"Rabe"
"Crater";"Becher"
"Crocodile";"Krokodil"
"Crux";"Kreuz des Südens"
"Cujam";""
"Cupid";""
"Current Time :";"Aktuelle Zeit :"
"Current Time Speed is x";"Aktueller Zeitablauf ist x"
"Cursa";""
"Cursor : ";"Mauszeiger : "
"Cursor Timeout: ";"Mauszeiger ausblenden: "
"Curved Array";"gebogene Reihe"
"Cycle through meteor shower rates";""
"Cygnus";"Schwan"
"DEC";"DEZ"
"Dabih";""
"Danistha";""
"Date & Time";"Uhrzeit festlegen "
"Date Display Format: ";"Datumsformat: "
"Day";"Tag"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Deimos ";""
"Delphinus";"Delphin"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Schöpflöffel"
"Disk Viewport";"Scheibenförmiges Gesichtsfeld"
"Display Options:";""
"Distance: ";"Entfernung: "
"Do";""
"Dog";"Hund"
"Dogs";""
"Dolphin";"Delphin"
"Done";""
"Dorado";"Schwertfisch"
"Double Bubble";""
"Draco";"Drache"
"Dried Willow";""
"Drum";"Trommel"
"Drumstick";"Trommelstock"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"E";"O"
"Earth";"Erde"
"Earth God's Temple";"Göttertempel"
"Eastern Door";"Östliche Tür"
"Ecliptic Line";"Ekliptiklinie"
"Edasich";""
"Effects ";"Effekte "
"Egg Nebula";""
"Egyptian";"Ägyptisch"
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"Leere"
"Encampment";"Lager"
"End Script";""
"Enif";""
"Enter observatory name";"Name des Standortes eingeben"
"Equator Line";"Äquatorlinie"
"Equatorial Grid";"Äquatoriales Gitter"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"Fohlen"
"Eridanus";"Fluss Eridanus"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";""
"Establishment";"Einrichtung"
"Etamin";""
"Extended Net";"erweitertes Netz"
"FEB";""
"Face On Galaxy";""
"Farmland";"Ackerland"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Fährboot"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Fünf Streitwagen"
"Five Feudal Kings";"Fünf feudale Könige"
"Flail";"Dreschflegel"
"Flight Duration: ";"Zoom-Dauer: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Schwarm"
"Flying Corridor";"Fliegender Korridor"
"Fog";"Nebel"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Für nicht aufgeführte Auflösung folgende Datei editieren :"
"Ford";"Furt"
"Fornax";"Chemischer Ofen (Fornax)"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Vier Kanäle"
"Fox";"Nebel"
"Francisco";""
"Frigate Bird";"Fregattvogel"
