"%s: Bad command line argument(s)\n";"%s: Λάθος γραμμής εντολής σύνοψης\n"
": Exceptional Leonid rate";": Ασυνήθης ρυθμός Λεοντίδων"
": Highest rate ever (1966 Leonids)";": Υψηλότερος ρυθμός στην ιστορία (1966 Λεοντίδες)"
": Normal rate";": Κανονικός ρυθμός"
": Standard Perseids rate";": Τυπικός ρυθμός Περσίδων"
"A'a";"Βωμός"
"APR";""
"AUG";"AU"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Βωμός"
"Acrux";"Νότιος Σταυρός"
"Actual Time";"Πραγματική 'Ωρα"
"Acubens";""
"Adhafera";""
"Adhara";"Βωμός"
"Adhil";""
"Administration ";"Διεύθυνση "
"Adrastea";"Οπλοστάσιο"
"After shift key '`' (backtick):";""
"Agni";"Αντλία"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Αντλία"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Αντλία"
"Algol";""
"Algorab";"Βωμός"
"Alhena";"Οπλοστάσιο"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Κριός"
"Almaak";""
"Alnair";""
"Alnasl";"Αντλία"
"Alnath";""
"Alnilam";"Αετός"
"Alnitak";"Αντλία"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Κριός"
"Alrescha";"Κριός"
"Alshain";""
"Also display Nebulas without textures";"Επίσης εμφάνιση νεφελωμάτων χωρίς σύσταση"
"Alt/Az: ";"Αζ/Υψ: "
"Altair";"Αστέρι"
"Altais";""
"Alterf";""
"Altitude (m): ";"Ύψος (μ): "
"Altitude : ";"Ύψος : "
"Aludra";"Βωμός"
"Alula Australis";"Νότιος Στέφανος"
"Alula Borealis";"Βόρειος Στέφανος"
"Alya";"Αετός"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Ανδρόμεδα"
"Angira";"Βωμός"
"Animal";"Αντλία"
"Ankaa";""
"Ant Nebula";"Αντλία"
"Antares";"Άστρα"
"Antialias Lines: ";""
"Antlia";"Αντλία"
"Anuradha";""
"Apus";"Πτηνό"
"Aquarius";"Υδροχόος"
"Aquila";"Αετός"
"Ara";"Βωμός"
"Arcturus";"Υδροχόος"
"Ardra";"Βωμός"
"Are you sure ?";""
"Ariel";"Κριός"
"Aries";"Κριός"
"Arkab";"Βωμός"
"Arneb";"Κριός"
"Arrow Keys";""
"Arrow down to load list.";"Βέλος προς τα κάτω για να φορτωθεί η λίστα"
"Arsenal";"Οπλοστάσιο"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Νότιος Στέφανος"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Κριός"
"Asterope";""
"Atik";"Αντλία"
"Atlas";"Αντλία"
"Atmosphere";"Ατμόσφαιρα"
"Atri";"Κριός"
"Atria";"Βωμός"
"Augutsya";""
"Auriga";"Ηνίοχος"
"Aurvandil's Toe";""
"Author: ";"Συγγραφέας "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Πλέγμα Αζιμούθιου"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Αντλία"
"Banner of Three Stars";"Λάβαρο των Τριών Αστεριών"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Πουλί"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Χάρος"
"Bharni";"Χάρος"
"Bianca";""
"Biham";""
"Bird";"Πουλί"
"Blubber Container";""
"Boat";"Καράβι"
"Bodies";"Βοώτης"
"Body Labels";"Άστρα"
"Body Orbits";""
"Body Trails";""
"Bond";"Δεσμός"
"Bootes";"Βοώτης"
"Botein";"Βοώτης"
"Bow and Arrow";"Τόξο και Βέλος"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Μπροστινό πόδι του Ταύρου"
"CD/DVD Script: ";"Σενάριο CD/DVD "
"CTRL + Left Click";""
"Caelum";"Γλυφείον"
"Calendar";""
"Caliban";"Τρόπις"
"California Nebula";""
"Callisto";"Καλλιστώ"
"Camelopardalis";"Καμηλοπάρδαλη"
"Campbell's Star";""
"Cancel";"Άκυρο"
"Cancer";"Καρκίνος"
"Canes Venatici";"Θηρευτικοί Κύνες"
"Canis Major";"Μέγας Κύων"
"Canis Minor";"Μικρός Κύων"
"Canopus";"Ουρανός"
"Capella";"Γλυφείον"
"Caph";""
"Capricornus";"Αιγόκερως"
"Cardinal Points";"Σημεία του Ορίζοντα"
"Cared for by Moon";"Φροντισμένο από το Φεγγάρι"
"Caribou";"Άρμα"
"Carina";"Τρόπις"
"Carme";""
"Cassiopeia";"Κασσιώπη"
"Cassiopeia A";"Κασσιώπη"
"Castor";"Καλλιστώ"
"Cat's Cradle";"Καλάθι της Γάτας"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Κένταυρος"
"Center on selected object";"Πήγαινε στο επιλεγμένο αντικείμενο [ΚΕΝΟ]"
"Cepheus";"Κηφέας"
"Ceres";"Κηφέας"
"Cetus";"Κήτος"
"Chamaeleon";"Χαμαιλέων"
"Chara";"Χάρος"
"Chariot";"Άρμα"
"Chariot Yard";"Περίβολος Αρμάτων"
"Charon";"Χάρος"
"Chematy";"Χεμάτη"
"Chertan";"Χάρος"
"Chi & h Per";""
"Chinese";"Κινέζικος"
"Chitra";"Άρμα"
"Choose landscapes:";"Επιλογή τοπίου:"
"Circinus";"Διαβήτης"
"Circular Granary";"Κυκλική Σιταποθήκη"
"Circumpolar Circle";"Κύκλοι Νεφελωμάτων"
"Clouds";"Κοράκι"
"Coiled Thong";"Κουλουριασμένο λουρί"
"Collarbones";"Γραμμές Αστερισμών"
"Colors ";"Χρώματα "
"Columba";"Περιστέρα"
"Coma Berenices";"Κόμη Βερενίκης"
"Comets";"Κήτος"
"Command recording stopped.";"Εντολή καταγραφής σταμάτησε."
"Configuration";"Ρυθμίσεις"
"Constellation Art";"Σχέδια των Αστερισμών [R]"
"Constellation Art Intensity";"Ένταση Καλλιτεχνίας Αστερισμών"
"Constellation Boundaries";"Όρια Αστερισμών"
"Constellation Labels";"Ονόματα Αστερισμών"
"Constellation Lines";"Γραμμές Αστερισμών"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Νότιος Στέφανος"
"Corona Borealis";"Βόρειος Στέφανος"
"Correct for light travel time: ";""
"Corvus";"Κοράκι"
"Crater";"Κρατήρας"
"Crocodile";"Κροκόδειλος"
"Crux";"Νότιος Σταυρός"
"Cujam";""
"Cupid";""
"Current Time :";"Τρέχουσα Ώρα:"
"Current Time Speed is x";"Η Παρούσα Ταχύτητα χρόνου είναι x"
"Cursa";"Κήτος"
"Cursor : ";"Κέρσορας : "
"Cursor Timeout: ";"Τέλος χρονικού ορίου Κέρσορα "
"Curved Array";"Καμπυλωμένη παράταξη"
"Cycle through meteor shower rates";""
"Cygnus";"Κύκνος"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Ημέρα & Ώρα"
"Date Display Format: ";"Μορφή Παρουσίασης Ημερομηνίας: "
"Day";"Μέρα"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"Μείωση Ταχύτητα Χρόνου [J]"
"Deepsky: ";""
"Deimos ";"Δείμος"
"Delphinus";"Δελφίνι"
"Deneb";"Διώνη"
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";"Δελφίνι"
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";"Τύμπανο"
"Dialogs and Other Controls:";""
"Dilyehe";""
"Dione";"Διώνη"
"Diphda";""
"Dipper";"Κουτάλα"
"Disk Viewport";"Άποψη δίσκου"
"Display Options:";""
"Distance: ";"Απόσταση: "
"Do";"Σκύλος"
"Dog";"Σκύλος"
"Dogs";"Σκύλος"
"Dolphin";"Δελφίνη"
"Done";"Διώνη"
"Dorado";"Δοράς"
"Double Bubble";""
"Draco";"Δράκον"
"Dried Willow";"Ιτιά"
"Drum";"Τύμπανο"
"Drumstick";"Μπαγκέτα"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";"Πλανήτες"
"Dwarf irregular galaxy";""
"E";"Α"
"Earth";"Γη"
"Earth God's Temple";"Ναός του Θεού στη Γη"
"Eastern Door";"Ανατολική Θύρα"
"Ecliptic Line";"Εκλειπτική Γραμμή"
"Edasich";""
"Effects ";"Εφέ "
"Egg Nebula";""
"Egyptian";"Αιγυπτιακός"
"Einstein Cross";""
"Elara";"Γη"
"Electra";""
"Elk";""
"Emptiness";"Κενότητα"
"Encampment";"Στρατόπεδο"
"Enceladus";"Εγκέλαδος"
"End Script";"Σενάριο "
"Enif";""
"Enter observatory name";"Εισάγετε όνομα παρατηρητηρίου"
"Equator Line";"Γραμμή Ισημερινού"
"Equatorial Grid";"Πλέγμα Ισημερινού"
