"%s: Bad command line argument(s)\n";"%s: آرگومان(های) نامناسب برای خط فرمان\n"
": Exceptional Leonid rate";""
": Highest rate ever (1966 Leonids)";""
": Normal rate";": نرخ معمول"
": Standard Perseids rate";""
"A'a";"آتشدان"
"APR";""
"AU";"واحد نجومی"
"AUG";"واحد نجومی"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"آتشدان"
"Acrux";"چلیپا"
"Actual Time";""
"Acubens";""
"Adhafera";""
"Adhara";"آتشدان"
"Adhil";""
"Administration ";"مدیریت "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";"تلمبه"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"تلمبه"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"تلمبه"
"Algol";""
"Algorab";"آتشدان"
"Alhena";"ره‌آ"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"حَمَل"
"Almaak";""
"Alnair";""
"Alnasl";"تلمبه"
"Alnath";""
"Alnilam";"عقاب"
"Alnitak";"تلمبه"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"حَمَل"
"Alrescha";"حَمَل"
"Alshain";""
"Also display Nebulas without textures";"نمایش سحابی ها بدون بافت"
"Alt/Az: ";"ارتفاع: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";":(ارتفاع (متر "
"Altitude : ";":ارتفاع "
"Aludra";"آتشدان"
"Alula Australis";"اکلیل جنوبی"
"Alula Borealis";"اکلیل شمالی"
"Alya";"سال‌نوری"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"آندرومدا"
"Angira";"آتشدان"
"Animal";"تلمبه"
"Ankaa";""
"Ant Nebula";"سحابی"
"Antares";"ستارگان"
"Antialias Lines: ";""
"Antlia";"تلمبه"
"Anuradha";""
"Apus";"مرغ بهشتی"
"Aquarius";"دلو"
"Aquila";"عقاب"
"Ara";"آتشدان"
"Arcturus";"دلو"
"Ardra";"آتشدان"
"Are you sure ?";""
"Ariel";"حَمَل"
"Aries";"حَمَل"
"Arkab";"آتشدان"
"Arneb";"حَمَل"
"Arrow Keys";""
"Arrow down to load list.";""
"Arsenal";""
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"اکلیل جنوبی"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"حَمَل"
"Asterope";""
"Atik";"تلمبه"
"Atlas";"تلمبه"
"Atmosphere";"جَوّ"
"Atri";"حَمَل"
"Atria";"آتشدان"
"Augutsya";""
"Auriga";"ارابه‌ران"
"Aurvandil's Toe";""
"Author: ";""
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"تقسیمات سَمتی"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";""
"Banner of Three Stars";""
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"کایرون"
"Bharni";"کایرون"
"Bianca";""
"Biham";""
"Bird";""
"Blubber Container";""
"Boat";""
"Bodies";"عوّا"
"Body Labels";"نام/ شماره ستاره"
"Body Orbits";""
"Body Trails";""
"Bond";""
"Bootes";"عوّا"
"Botein";"عوّا"
"Bow and Arrow";""
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";""
"CD/DVD Script: ";": CD/DVD اسکریپت "
"CTRL + Left Click";""
"Caelum";"اسکنه"
"Calendar";""
"Caliban";"حمّال"
"California Nebula";""
"Callisto";"کالیستو"
"Camelopardalis";"زرافه"
"Campbell's Star";""
"Cancel";""
"Cancer";"خرچنگ"
"Canes Venatici";"تازی‌ها"
"Canis Major";"کلب اکبر"
"Canis Minor";"کلب اصغر"
"Canopus";"اورانوس"
"Capella";"اسکنه"
"Caph";""
"Capricornus";"جَدی"
"Cardinal Points";"چهارجهت اصلی"
"Cared for by Moon";""
"Caribou";"جَدی"
"Carina";"حمّال"
"Carme";"حالت نقشه‌ای"
"Cassiopeia";"ذات‌الکرسی"
"Cassiopeia A";"ذات‌الکرسی"
"Castor";"کالیستو"
"Cat's Cradle";""
"Cebalrai";""
"Celaeno";""
"Centaurus";"قنطورس"
"Center on selected object";"برو به جرم منتخب [SPACE]"
"Cepheus";"قیفاووس"
"Ceres";"قیفاووس"
"Cetus";"قیطُس"
"Chamaeleon";"چلپاسه"
"Chara";"کایرون"
"Chariot";""
"Chariot Yard";""
"Charon";"کایرون"
"Chematy";""
"Chertan";"کایرون"
"Chi & h Per";""
"Chinese";""
"Chitra";""
"Choose landscapes:";"انتخاب چشم انداز ها:"
"Circinus";"پرگار"
"Circular Granary";""
"Circumpolar Circle";""
"Clouds";"کلاغ"
"Coiled Thong";""
"Collarbones";"صورتهای فلکی"
"Colors ";"رنگ‌ها "
"Columba";"کبوتر"
"Coma Berenices";"گیسو"
"Comets";"قیطُس"
"Command recording stopped.";"ضبط فرمانها متوقف شد."
"Configuration";"پیکربندی"
"Constellation Art";"تصاویر صورتهای فلکی [R]"
"Constellation Art Intensity";""
"Constellation Boundaries";""
"Constellation Labels";":برچسب صورتهای فلکی "
"Constellation Lines";""
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"اکلیل جنوبی"
"Corona Borealis";"اکلیل شمالی"
"Correct for light travel time: ";""
"Corvus";"کلاغ"
"Crater";"پیاله"
"Crocodile";""
"Crux";"چلیپا"
"Cujam";""
"Cupid";""
"Current Time :";":زمان فعلی"
"Current Time Speed is x";".است x سرعت فعلی گذر زمان"
"Cursa";"قیطُس"
"Cursor : ";"مکان‌نما : "
"Cursor Timeout: ";"مهلت مکان‌نما: "
"Curved Array";""
"Cycle through meteor shower rates";""
"Cygnus";"دجاجه"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"تاریخ و زمان"
"Date Display Format: ";":قالب نمایش تاریخ "
"Day";"روز"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"کاهش سرعت گذر زمان [J]"
"Deepsky: ";""
"Deimos ";"دیموس"
"Delphinus";"دلفین"
"Deneb";"دیوُن"
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";"دلفین"
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
