"%s: Bad command line argument(s)\n";"%s: Väärä komentoriviparametri\n"
": Exceptional Leonid rate";": Poikkeuksellinen leonidien aktiivisuus"
": Highest rate ever (1966 Leonids)";": Suurin tunnettu aktiivisuus (1966 leonidit)"
": Normal rate";": Normaali aktiivisuus"
": Standard Perseids rate";": Perseidien normaaliaktiivisuus"
"A'a";""
"APR";""
"AUG";""
"Abhijeet";""
"About";""
"Actual Time";"Nykyinen aika"
"Administration ";"Hallinta "
"After shift key '`' (backtick):";""
"Agni";""
"Also display Nebulas without textures";"Näytä myös kuvattomat tähtisumut"
"Alt/Az: ";"Atsim./Kork.: "
"Altitude (m): ";"Korkeus (m): "
"Altitude : ";"Korkeus : "
"Amalthea";""
"Angira";""
"Animal";""
"Ant Nebula";""
"Antialias Lines: ";""
"Antlia";"Ilmapumppu"
"Anuradha";""
"Apus";"Paratiisilintu"
"Aquarius";"Vesimies"
"Aquila";"Kotka"
"Ara";"Alttari"
"Ardra";""
"Are you sure ?";""
"Aries";"Oinas"
"Arrow Keys";""
"Arrow down to load list.";"Hae lista alanuolella."
"Arsenal";"Varikko"
"Artificial Satellites";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Asteroids";""
"Atmosphere";"Ilmakehä"
"Atri";""
"Augutsya";""
"Auriga";"Ajomies"
"Aurvandil's Toe";"Aurvandilin varvas"
"Author: ";"Tekijä: "
"Azimuthal Grid";"Atsimuuttiasteikko"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Äyskäri"
"Banner of Three Stars";"Kolmen tähden nauha"
"Barnard's Star";""
"Basis: ";""
"Bear's Lodge";""
"Beid";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Biham";""
"Bird";"Lintu"
"Blubber Container";""
"Boat";"Vene"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Side"
"Bootes";"Karhunvartija"
"Botein";""
"Bow and Arrow";"Jousi ja nuoli"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Härän etujalat"
"CD/DVD Script: ";"CD/DVD-komentojono: "
"CTRL + Left Click";""
"Caelum";"Veistotaltta"
"Calendar";""
"California Nebula";""
"Callisto";"Kallisto"
"Camelopardalis";"Kirahvi"
"Campbell's Star";""
"Cancel";"Hylkää"
"Cancer";"Krapu"
"Canes Venatici";"Ajokoirat"
"Canis Major";"Iso koira"
"Canis Minor";"Pieni koira"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Kauris"
"Cardinal Points";"Ilmansuunnat"
"Cared for by Moon";"Kuun kaitsema"
"Caribou";""
"Carina";"Köli"
"Carme";""
"Cassiopeia";"Kassiopeia"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Kissankehto"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentauri"
"Center on selected object";""
"Cepheus";"Kefeus"
"Ceres";""
"Cetus";"Valas"
"Chamaeleon";"Kameleontti"
"Chara";""
"Chariot";"Ajuri"
"Chariot Yard";"Hevospiha"
"Chertan";""
"Chi & h Per";""
"Chinese";"Kiinalainen"
"Chitra";""
"Choose landscapes:";"Valitse maisemat"
"Circinus";"Harppi"
"Circular Granary";"Pyöreä vilja-aitta"
"Circumpolar Circle";"Tähtisumujen ympyrät"
"Clouds";"Korppi"
"Coiled Thong";"Kierretty hihna"
"Collarbones";""
"Colors ";"Värit "
"Columba";"Kyyhkynen"
"Coma Berenices";"Bereniken hiukset"
"Comets";""
"Command recording stopped.";"Komentojen tallennus pysäytetty."
"Configuration";"Asetukset"
"Constellation Art";""
"Constellation Art Intensity";"Tähdistökuvien voimakkuus"
"Constellation Boundaries";"Tähdistöjen rajat"
"Constellation Labels";""
"Constellation Lines";"Tähtikuvioviivat"
"Cor Caroli";""
"Corona Australis";"Etelän kruunu"
"Corona Borealis";"Pohjan kruunu"
"Correct for light travel time: ";"Korjaa valon matka-aika: "
"Corvus";"Korppi"
"Crater";"Malja"
"Crocodile";"Krokotiili"
"Crux";"Etelän risti"
"Cujam";""
"Current Time :";"Nykyhetki :"
"Current Time Speed is x";"Nykyinen aika-askel on x"
"Cursa";""
"Cursor : ";"Kohdistin : "
"Cursor Timeout: ";"Kohdistimen aikakatkaisu: "
"Curved Array";"Kaareva nuoli"
"Cycle through meteor shower rates";""
"Cygnus";"Joutsen"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Aseta aika "
"Date Display Format: ";"Päiväyksen muoto: "
"Day";"Päivä"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Deimos ";""
"Delphinus";"Delfiini"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Kauha"
"Disk Viewport";"Putkinäkymä"
"Display Options:";""
"Distance: ";"Etäisyys: "
"Do";""
"Dog";"Koira"
"Dogs";""
"Dolphin";"Delfiini"
"Done";""
"Dorado";"Kultakala"
"Double Bubble";""
"Draco";"Lohikäärme"
"Dried Willow";""
"Drum";"Rumpu"
"Drumstick";"Rumpukapula"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"E";"I"
"Earth";"Maa"
"Earth God's Temple";"Maan jumalien temppeli"
"Eastern Door";"Itäinen ovi"
"Ecliptic Line";"Ekliptika"
