"%s: Bad command line argument(s)\n";"%s: Rossz parancssori argumentumok\n"
": Exceptional Leonid rate";": Rendkívüli Leonida-gyakoriság"
": Highest rate ever (1966 Leonids)";": Az eddigi csúcs (1966, Leonidák)"
": Normal rate";": Normál gyakoriság"
": Standard Perseids rate";": Szokásos Perzeida-gyakoriság"
"A'a";""
"APR";"ÁPR"
"AU";"CsE"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Idő"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Adminisztráció "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Láthatók a textúrák nélküli ködök is"
"Alt/Az: ";"Mag.: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Magasság (m): "
"Altitude : ";"Magasság: "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Légszivattyú"
"Anuradha";""
"Apus";"Paradicsommadár"
"Aquarius";"Vízöntő"
"Aquila";"Sas"
"Ara";"Oltár"
"Arcturus";""
"Ardra";""
"Are you sure ?";"Biztos benne?"
"Ariel";""
"Aries";"Kos"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Lista betöltése a \"le\" nyílbillentyűvel."
"Arsenal";"Fegyvertár"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Légkör"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Szekeres"
"Aurvandil's Toe";""
"Author: ";"Szerző: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Horizontális rács"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Merőkanál"
"Banner of Three Stars";"Három Csillagos Lobogó"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Madár"
"Blubber Container";""
"Boat";"Hajó"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Kötés"
"Bootes";"Ökörhajcsár"
"Botein";""
"Bow and Arrow";"Íj és Nyíl"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Ökörcomb"
"CD/DVD Script: ";"CD-/DVD-parancsfájl: "
"CTRL + Left Click";""
"Caelum";"Véső"
"Calendar";"Naptár"
"Caliban";""
"California Nebula";""
"Camelopardalis";"Zsiráf"
"Campbell's Star";""
"Cancel";"Mégsem"
"Cancer";"Rák"
"Canes Venatici";"Vadászebek"
"Canis Major";"Nagy Kutya"
"Canis Minor";"Kis Kutya"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Bak"
"Cardinal Points";"Égtájak"
"Cared for by Moon";"Hold Kegyeltje"
"Caribou";""
"Carina";"Hajógerinc"
"Carme";""
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Macskabölcső"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentaur"
"Center on selected object";""
"Cepheus";"Cefeusz"
"Ceres";""
"Cetus";"Cet"
"Chamaeleon";"Kaméleon"
"Chara";""
"Chariot";"Harci Szekér"
"Chariot Yard";"Kocsiszín"
"Chertan";""
"Chi & h Per";""
"Chinese";"Kínai"
"Chitra";""
"Choose landscapes:";"Tájkép:"
"Circinus";"Körző"
"Circular Granary";"Kerek Magtár"
"Circumpolar Circle";"Ködök jelzőkörei"
"Clouds";"Holló"
"Coiled Thong";"Ostorszíj"
"Collarbones";""
"Colors ";"Színek "
"Columba";"Galamb"
"Coma Berenices";"Bereniké Haja"
"Comets";""
"Command recording stopped.";"Parancsrögzítés leállítva."
"Configuration";"Beállítások"
"Constellation Art";""
"Constellation Art Intensity";"Csillagképek ábráinak intenzitása"
"Constellation Boundaries";"Csillagképek határai"
"Constellation Labels";""
"Constellation Lines";"Csillagképek vonalai"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Déli Korona"
"Corona Borealis";"Északi Korona"
"Correct for light travel time: ";""
"Corvus";"Holló"
"Crater";"Serleg"
"Crocodile";"Krokodil"
"Crux";"Déli Kereszt"
"Cujam";""
"Cupid";""
"Current Time :";"Jelenlegi idő:"
"Current Time Speed is x";"Az idő múlása jelenleg: x"
"Cursa";""
"Cursor : ";"Kurzor: "
"Cursor Timeout: ";"Egérmutató elrejtési ideje: "
"Curved Array";"Görbe Rend"
"Cycle through meteor shower rates";""
"Cygnus";"Hattyú"
"Dabih";""
"Danistha";""
"Date & Time";"Idő beállítása "
"Date Display Format: ";"Dátumformátum: "
"Day";"Nap"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Deimos ";""
"Delphinus";"Delfin"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Merőkanál"
"Disk Viewport";"Kör alakú látómező"
"Display Options:";""
"Distance: ";"Távolság: "
"Do";""
"Dog";"Kutya"
"Dogs";""
"Dolphin";"Delfin"
"Done";"Rendben"
"Dorado";"Aranyhal"
"Double Bubble";""
"Draco";"Sárkány"
"Dried Willow";""
"Drum";"Dob"
"Drumstick";"Dobverő"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"E";"K"
"Earth";"Föld"
"Earth God's Temple";"Földisten Temploma"
"Eastern Door";"Keleti Ajtó"
"Ecliptic Line";"Ekliptika vonala"
"Edasich";""
"Effects ";"Effektusok "
"Egg Nebula";""
"Egyptian";"Egyiptomi"
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"Üresség"
"Encampment";"Táborhely"
"End Script";""
"Enif";""
"Enter observatory name";"A megfigyelőhely neve"
"Equator Line";"Egyenlítő vonala"
"Equatorial Grid";"Egyenlítői rács"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"Csikó"
"Eridanus";"Eridánusz"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";"Hiba: Nem lehet megnyitni a parancsfájlt parancsrögzítéshez."
"Establishment";"Háztartás"
"Etamin";""
"Extended Net";"Kiterített Háló"
"Face On Galaxy";""
"Farmland";"Gazdaság"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Révhajó"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Öt Harci Szekér"
"Five Feudal Kings";"Öt Feudális Király"
"Flail";"Láncos Buzogány"
"Flight Duration: ";"Nagyítás időtartama: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Nyáj"
"Flying Corridor";"Repülő Folyosó"
"Fog";"Köd"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Más felbontás ebben a fájlban adható meg:"
"Ford";"Gázló"
"Fornax";"Kemence"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Négy Csatorna"
"Fox";"Köd"
"Francisco";""
"Frigate Bird";"Fregattmadár"
"Furud";""
"GO";"Ugrás"
"Gacrux";""
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
"Galla";""
"Galla's Sons";""
"Gemini";"Ikrek"
"General ";"Általános "
"Ghosts";"Szellemek"
"Giant";"Óriás"
"Giausar";""
"Gienah";""
"Girl";"Lány"
"Girtab";""
"Globular Cluster Ara";""
"Go to Selected Body";""
"Gomeisa";""
"Good Gourd";"Jó Tök"
"Great General";"Nagyvezér"
"Ground";"Felszín"
"Grumium";""
"Grus";"Daru"
"Guide star";""
"H II LMC";""
"Hadar";""
"Halimede";""
"Hamal";""
"Hand";""
"Hasta";""
"Hawaiki";""
"Heading: ";""
"Heart";"Szív"
"Help";"Súgó"
"Hercules";"Herkules"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Himalia";""
"Hindu";""
"Hippopotamus";"Víziló"
"Hit CTRL-R again to stop.\n";"A CTRL+R újabb leütésével állítsd le.\n"
"Hoku'ula";""
"Hokule'a";""
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";""
"Hook";"Horog"
"Horn";"Szarv"
"Horologium";"Ingaóra"
"Horus";"Hórusz"
"Hour";"Óra"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydra";"Északi Vízikígyó"
"Hydrus";"Déli Vízikígyó"
"IC434 & Horse Head Nebula";""
"Imperial Guards";"Császári Őrség"
"Imperial Passageway";"Császári Folyosó"
"Increase Time Rate";""
"Info: ";"Információ: "
"Information";"Információ"
"Interacting Galaxies";""
"Internal Script: ";""
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"Érvénytelen parancs"
"Izar";""
"JUL";"JÚL"
"JUN";"JÚN"
"Jade Well";"Jáde-kút"
"Jaw";"Állkapocs"
"Juliet";""
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Khanuwy Hal"
"Kitalpha";""
"Kitchen";"Konyha"
"Kite of Kawelo";"Kawelo Sárkánya"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Gyík"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";""
"Lance";"Lándzsa"
"Landscape: ";"Tájkép: "
"Landscapes";"Tájképek"
"Language";"Nyelv"
"Laomedeia";""
"Larissa";""
"Latitude : ";"Szélesség: "
"Latitude: ";"Szélesség: "
"Leda";""
"Left Click";""
"Left Flag";"Bal Zászló"
"Legs";"Lábak"
"Lehua-Kona";""
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"Oroszlán"
"Leo Minor";"Kis Oroszlán"
"Lepus";"Nyúl"
"Lesath";""
"Libra";"Mérleg"
"Light Pollution Limiting Magnitude: ";""
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"Oroszlán"
"Little Ghost Nebula";""
"Lizard";""
"Load Default Configuration";""
