"%s: Bad command line argument(s)\n";"%s՝ Հրամանային տողի սխալ փաստարկ\n"
": Exceptional Leonid rate";"՝ Առյուծի համար արտակարգ հոսք"
": Highest rate ever (1966 Leonids)";"՝ Առավելագույնը (Առյուծի ասուպային հոսք, 1966)"
": Normal rate";"՝ Սովորական"
": Standard Perseids rate";"՝ Պերսեւսի սովորական հոսք"
"A'a";""
"APR";""
"AU";"ա.մ."
"AUG";""
"Abhijeet";""
"About";"Նկարագիր"
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Փաստացի ժամանակը"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Կառավարում "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Նաեւ ցուցադրել միգամածություններն առանց հյուսվածքների"
"Alt/Az: ";""
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Բարձրությունը (մ)՝ "
"Altitude : ";"Բարձրությունը ՝ "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Անդրոմեդա"
"Angira";""
"Animal";"Կենդանի"
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Ջրհան (Պոմպ)"
"Anuradha";""
"Apus";"Դրախտային Թռչուն"
"Aquarius";"Ջրհոս"
"Aquila";"Արծիվ"
"Ara";"Զոհասեղան"
"Arcturus";""
"Ardra";""
"Are you sure ?";"Դուք համոզվա՞ծ եք"
"Ariel";"Արիել"
"Aries";"Խոյ"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Սլաք ներքեւ՝ ցանկը բեռնելու համար։"
"Arsenal";""
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Աստերոիդներ"
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Մթնոլորտ"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Կառավար"
"Aurvandil's Toe";"Արվանդիլի մատը"
"Author: ";"Հեղինակ՝ "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Ազիմուտային ցանց"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Դույլ"
"Banner of Three Stars";"Երեք աստղի դրոշ"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";"Արջի որջ"
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Թռչուն"
"Blubber Container";"Ճարպի անոթ"
"Boat";"Նավ"
"Bodies";""
"Body Labels";"Մարմինների անվանումները"
"Body Orbits";""
"Body Trails";""
"Bond";"Կապանքներ"
"Bootes";"Եզնարած"
"Botein";""
"Bow and Arrow";"Նետ եւ աղեղ"
"Brahamhridya";""
"Breastbone";"Կրծոսկր"
"Bull's Foreleg";"Ցուլի առաջի ոտքը"
"CD/DVD Script: ";"CD/DVD գրվածքներ՝ "
"CTRL + Left Click";""
"Caelum";"Դանակ"
"Calendar";""
"Caliban";""
"California Nebula";""
"Callisto";"Կալիստո"
"Camelopardalis";"Ընձուղտ"
"Campbell's Star";""
"Cancel";"Չեղարկել"
"Cancer";"Խեցգետին"
"Canes Venatici";"Որսկան Շներ"
"Canis Major";"Մեծ Շուն"
"Canis Minor";"Փոքր Շուն"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Այծեղջյուր"
"Cardinal Points";"Աշխարհքի կողմեր"
"Cared for by Moon";"Լուսնով փայփայված"
"Caribou";"Հյուսիսային եղջերու"
"Carina";"Ողնուց"
"Carme";""
"Cassiopeia";"Կասիոպեա"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Կատվի օրորոց"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Մարդաձի"
"Center on selected object";"Կենտրոնացնել ընտրված առարկան"
"Cepheus";"Ցեֆեոս"
"Ceres";"Ցերերա"
"Cetus";"Կետ"
"Chamaeleon";"Գետնառյուծ"
"Chara";""
"Chariot";"Կառք"
"Chariot Yard";"Կառքերի բակ"
"Charon";"Քարոն"
"Chematy";"Չեմաթի"
"Chertan";""
"Chi & h Per";""
"Chinese";"Չիներեն"
"Chitra";""
"Choose landscapes:";"Բնապատկեր ընտրել՝"
"Circinus";"Կարկին"
"Circular Granary";"Կլոր շտեմարան"
"Circumpolar Circle";""
"Clouds";""
"Coiled Thong";"Փաթաթած կաշեփոկ"
"Collarbones";"Անրակներ"
