"%s: Bad command line argument(s)\n";"%s: Argumen perintah salah\n"
": Exceptional Leonid rate";": Penampakan khusus jumlah hujan Leonids"
": Highest rate ever (1966 Leonids)";": Jumlah terbanyak (Hujan Meteor Leonid 1966)"
": Normal rate";": Laju normal"
": Standard Perseids rate";": Standar laju Perseids"
"A'a";"Ara"
"APR";""
"AU";"SA"
"AUG";"SA"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Ara"
"Acrux";"Crux"
"Actual Time";"Waktu Kini"
"Acubens";""
"Adhafera";""
"Adhara";"Ara"
"Adhil";""
"Administration ";"Administrasi "
"Adrastea";"Gudang senjata"
"After shift key '`' (backtick):";""
"Agni";"Antlia"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Antlia"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Antlia"
"Algol";""
"Algorab";"Ara"
"Alhena";"Gudang senjata"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Aries"
"Almaak";""
"Alnair";""
"Alnasl";"Binatang"
"Alnath";""
"Alnilam";"Aquila"
"Alnitak";"Antlia"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Aries"
"Alrescha";"Aries"
"Alshain";""
"Also display Nebulas without textures";"Tampilkan juga gugusan bintang tanpa pola"
"Alt/Az: ";"Az/Alt: "
"Altair";"Bintang"
"Altais";""
"Alterf";""
"Altitude (m): ";"Ketinggian (meter) "
"Altitude : ";"Ketinggian : "
"Aludra";"Ara"
"Alula Australis";"Corona Australis"
"Alula Borealis";"Corona Borealis"
"Alya";"Aquila"
"Amalthea";""
"Ananke";"Ular"
"Ancha";""
"Angira";"Ara"
"Animal";"Binatang"
"Ankaa";""
"Ant Nebula";"Antlia"
"Antares";"Bintang-bintang"
"Antialias Lines: ";""
"Anuradha";""
"Arcturus";"Aquarius"
"Ardra";"Ara"
"Are you sure ?";""
"Ariel";"Aries"
"Arkab";"Ara"
"Arneb";"Aries"
"Arrow Keys";""
"Arrow down to load list.";"Panah bawah untuk list:"
"Arsenal";"Gudang senjata"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Corona Australis"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Aries"
"Asterope";""
"Atik";"Antlia"
"Atlas";"Antlia"
"Atmosphere";"Atmosfir"
"Atri";"Aries"
"Atria";"Ara"
"Augutsya";""
"Aurvandil's Toe";""
"Author: ";"Pengarang: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Garis bantu Azimut"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Gayung"
"Banner of Three Stars";"Bendera 3 bintang"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";"Pondok Beruang"
"Beid";"Burung"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Charon"
"Bharni";"Charon"
"Bianca";""
"Biham";""
"Bird";"Burung"
