"%s: Bad command line argument(s)\n";"%s: コマンド行の引数が違います\n"
": Exceptional Leonid rate";": 獅子座流星群の多いときぐらい"
": Highest rate ever (1966 Leonids)";": 最も多いときぐらい (1966年の獅子座流星群)"
": Normal rate";": 一般的な数"
": Standard Perseids rate";": ペルセウス座流星群ぐらい"
"A'a";"さいだん"
"APR";""
"AU";"天文単位"
"AUG";"天文単位"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"さいだん"
"Acrux";"みなみじゅうじ"
"Actual Time";"現在の時刻"
"Acubens";""
"Adhafera";""
"Adhara";"さいだん"
"Adhil";""
"Administration ";"管理 "
"Adrastea";"庫樓(ころう：青龍)"
"After shift key '`' (backtick):";""
"Agni";"ポンプ"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"ポンプ"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"ポンプ"
"Algol";""
"Algorab";"さいだん"
"Alhena";"庫樓(ころう：青龍)"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"おひつじ"
"Almaak";""
"Alnair";""
"Alnasl";"ポンプ"
"Alnath";""
"Alnilam";"わし"
"Alnitak";"ポンプ"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"おひつじ"
"Alrescha";"おひつじ"
"Alshain";""
"Also display Nebulas without textures";"テクスチャーなしで、星雲を表示"
"Alt/Az: ";"方位/高度: "
"Altair";"星(せい：朱雀)"
"Altais";""
"Alterf";""
"Altitude (m): ";"標高(m): "
"Altitude : ";"標高 : "
"Aludra";"さいだん"
"Alula Australis";"みなみのかんむり"
"Alula Borealis";"かんむり"
"Alya";"わし"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"アンドロメダ"
"Angira";"さいだん"
"Animal";"ポンプ"
"Ankaa";""
"Ant Nebula";"ポンプ"
"Antares";"恒星"
"Antialias Lines: ";""
"Antlia";"ポンプ"
"Anuradha";""
"Apus";"ふうちょう"
"Aquarius";"みずがめ"
"Aquila";"わし"
"Ara";"さいだん"
"Arcturus";"みずがめ"
"Ardra";"さいだん"
"Are you sure ?";""
"Ariel";"おひつじ"
"Aries";"おひつじ"
"Arkab";"さいだん"
"Arneb";"おひつじ"
"Arrow Keys";""
"Arrow down to load list.";"↓キーで一覧を表示します。"
"Arsenal";"庫樓(ころう：青龍)"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"みなみのかんむり"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"おひつじ"
"Asterope";""
"Atik";"ポンプ"
"Atlas";"ポンプ"
"Atmosphere";"大気"
"Atri";"おひつじ"
"Atria";"さいだん"
"Augutsya";""
"Auriga";"ぎょしゃ"
"Aurvandil's Toe";""
"Author: ";"作者: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"地平座標"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Bailer(ひしゃく)"
"Banner of Three Stars";"参旗(しんき：白虎)"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Bird(鳥)"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"カーロン"
"Bharni";"カーロン"
"Bianca";""
"Biham";""
"Bird";"Bird(鳥)"
"Blubber Container";""
"Boat";"天船(てんせん：白虎)/Boat(水運搬船)"
"Bodies";"うしかい"
"Body Labels";"恒星"
"Body Orbits";""
"Body Trails";""
"Bond";"婁(ろう：白虎)"
"Bootes";"うしかい"
"Botein";"うしかい"
"Bow and Arrow";"弧矢(こし：朱雀)"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Bull's Foreleg(おうしの前足)"
"CD/DVD Script: ";"CD/DVD スクリプト : "
"CTRL + Left Click";""
"Caelum";"ちょうこくぐ"
"Calendar";""
"Caliban";"りゅうこつ"
"California Nebula";""
"Callisto";"カリスト"
"Camelopardalis";"きりん"
"Campbell's Star";""
"Cancel";"キャンセル"
"Cancer";"かに"
"Canes Venatici";"りょうけん"
"Canis Major";"おおいぬ"
"Canis Minor";"こいぬ"
"Canopus";"天王星"
"Capella";"ちょうこくぐ"
"Caph";""
"Capricornus";"やぎ"
"Cardinal Points";"方位"
"Cared for by Moon";"Cared for by Moon(月の導き)"
"Caribou";"軫(しん：朱雀)"
"Carina";"りゅうこつ"
"Carme";""
"Cassiopeia";"カシオペヤ"
"Cassiopeia A";"カシオペヤ"
"Castor";"カリスト"
"Cat's Cradle";"Cat's Cradle(あやとり)"
"Cebalrai";""
"Celaeno";""
"Centaurus";"ケンタウルス"
"Center on selected object";"選択した天体へ移動 [スペース]"
"Cepheus";"ケフェウス"
"Ceres";"ケフェウス"
"Cetus";"くじら"
"Chamaeleon";"カメレオン"
"Chara";"カーロン"
"Chariot";"軫(しん：朱雀)"
"Chariot Yard";"車府(しゃふ：玄武)"
"Charon";"カーロン"
"Chematy";""
"Chertan";"カーロン"
"Chi & h Per";""
"Chinese";"中国"
"Chitra";"軫(しん：朱雀)"
"Choose landscapes:";"背景の選択:"
"Circinus";"コンパス"
"Circular Granary";"天囷(てんきん：白虎)"
"Circumpolar Circle";"星雲の円"
"Clouds";"からす"
"Coiled Thong";"貫索(かんさく：天市垣)"
"Collarbones";"星座線"
"Colors ";"色 "
"Columba";"はと"
"Coma Berenices";"かみのけ"
"Comets";"くじら"
"Command recording stopped.";"コマンド記録停止"
"Configuration";"環境設定"
"Constellation Art";"星座絵 [R]"
"Constellation Art Intensity";"星座絵の明るさ"
"Constellation Boundaries";"星座の境界線"
"Constellation Labels";"星座名"
"Constellation Lines";"星座線"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"みなみのかんむり"
"Corona Borealis";"かんむり"
"Correct for light travel time: ";""
"Corvus";"からす"
"Crater";"コップ"
"Crocodile";"Crocodile(ワニ)"
"Crux";"みなみじゅうじ"
"Cujam";""
"Cupid";""
"Current Time :";"現在時間 :"
"Current Time Speed is x";"現在の時間の早さはx"
"Cursa";"くじら"
"Cursor : ";"カーソル : "
"Cursor Timeout: ";"カーソル表示時間 : "
"Curved Array";"勾陳(こうちん：紫微垣)"
"Cycle through meteor shower rates";""
"Cygnus";"はくちょう"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"日付と時間"
"Date Display Format: ";"日付表示形式 : "
"Day";"日"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"時間を減速 [J]"
"Deepsky: ";""
"Deimos ";"ダイモス"
"Delphinus";"いるか"
"Deneb";"ディオーネ"
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";"いるか"
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";"河鼓(かこ：玄武)"
"Dialogs and Other Controls:";""
"Dilyehe";""
"Dione";"ディオーネ"
"Diphda";""
"Dipper";"斗(と：玄武)"
"Disk Viewport";"表示領域を円形のみに"
"Display Options:";""
"Distance: ";"距離: "
"Do";"天狗(てんこう：朱雀)"
"Dog";"天狗(てんこう：朱雀)"
"Dogs";"天狗(てんこう：朱雀)"
"Dolphin";"Dolphin(いるか)"
"Done";"ディオーネ"
"Dorado";"かじき"
"Double Bubble";""
"Draco";"りゅう"
"Dried Willow";"柳(りゅう：朱雀)"
"Drum";"河鼓(かこ：玄武)"
"Drumstick";"天桴(てんぷ：玄武)"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";"惑星"
"Dwarf irregular galaxy";""
"E";"東"
"Earth";"地球"
"Earth God's Temple";"天社(てんしゃ：朱雀)"
"Eastern Door";"東咸(とうかん：青龍)"
"Ecliptic Line";"黄道線"
"Edasich";""
"Effects ";"効果 "
"Egg Nebula";""
"Egyptian";"エジプト"
"Einstein Cross";""
"Elara";"地球"
"Electra";""
"Elk";""
"Emptiness";"虛(きょ：玄武)"
"Encampment";"室(しつ：玄武)"
"Enceladus";"エンケラドス"
"End Script";"スクリプト "
"Enif";""
"Enter observatory name";"観測所の名前を入力"
"Equator Line";"赤道線"
"Equatorial Grid";"赤道座標"
"Equatorial/Altazimuthal Mount";"赤道儀/経緯台 [ENTER]"
"Equatorial/altazimuthal mount";"赤道儀/経緯台 [ENTER]"
"Equuleus";"こうま"
"Eridanus";"エリダヌス"
"Eris";"おひつじ"
"Errai";""
"Error: Unable to open script file to record commands.";"エラー: スクリプトファイルを開けません"
"Establishment";"建(けん：玄武)"
"Etamin";""
"Europa";"エウロパ"
"Extended Net";"張(ちょう：朱雀)"
"FEB";""
"Face On Galaxy";""
"Farmland";"天田(てんでん：青龍)"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";"弧矢(こし：朱雀)"
