"%s: Bad command line argument(s)\n";"%s: 명령어의 인자값이 잘못되었습니다.\n"
": Exceptional Leonid rate";": 예외적인 사자자리 유성우 빈도수"
": Highest rate ever (1966 Leonids)";": 가장 높은 빈도수 (1966년 사자자리 유성우)"
": Normal rate";": 정상 속도"
": Standard Perseids rate";": 표준 페르세우스 유성우 빈도수"
"A'a";""
"APR";"4월"
"AU";"천문단위"
"AUG";"8월"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"실제 시간"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"관리 "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"또한, 텍스쳐 없이 성운 표시합니다."
"Alt/Az: ";"방위/고도: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"고도 (m): "
"Altitude : ";"고도 : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"안드로메다"
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"공기펌프"
"Anuradha";""
"Apus";"극락조"
"Aquarius";"물병"
"Aquila";"독수리"
"Ara";"제단"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"양"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"아래 화살표로 목록을 부르세요."
"Arsenal";"고루"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"대기"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"마차부"
"Aurvandil's Toe";""
"Author: ";"작성자: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"방위 격자"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"파래박"
"Banner of Three Stars";"갈석"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"새"
"Blubber Container";""
"Boat";"배"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"루"
"Bootes";"목동"
"Botein";""
"Bow and Arrow";"호"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"황소의 앞다리"
"CD/DVD Script: ";"CD/DVD 스크립트: "
"CTRL + Left Click";""
"Caelum";"조각칼"
"Calendar";""
"Caliban";""
"California Nebula";""
"Callisto";"칼리스토"
"Camelopardalis";"기린"
"Campbell's Star";""
"Cancel";"취소"
"Cancer";"게"
"Canes Venatici";"사냥개"
"Canis Major";"큰개"
"Canis Minor";"작은개"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"바다염소"
"Cardinal Points";"방위기점"
"Cared for by Moon";"달의 가호"
"Caribou";""
"Carina";"용골"
"Carme";""
"Cassiopeia";"카시오페이아"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"고양이의 요람"
"Cebalrai";""
"Celaeno";""
"Centaurus";"센타우루스"
"Center on selected object";""
"Cepheus";"케페우스"
"Ceres";""
"Cetus";"고래"
"Chamaeleon";"카멜레온"
"Chara";""
"Chariot";"진"
"Chariot Yard";"거부"
"Charon";"케이론"
"Chematy";"체마티"
"Chertan";""
"Chi & h Per";""
"Chinese";"중국"
"Chitra";""
"Choose landscapes:";"풍경을 선택하십시오."
"Circinus";"컴퍼스"
"Circular Granary";"천균"
"Circumpolar Circle";"성운 범위"
"Clouds";"까마귀"
"Coiled Thong";"관삭"
"Collarbones";""
"Colors ";"색깔 "
"Columba";"비둘기"
"Coma Berenices";"머리털"
"Comets";""
"Command recording stopped.";"명령 저장이 중단되었습니다."
"Configuration";"설정"
"Constellation Art";""
"Constellation Art Intensity";"별자리 그림 명암도"
"Constellation Boundaries";"별자리 경계"
"Constellation Labels";""
"Constellation Lines";"별자리 선"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"남쪽왕관"
"Corona Borealis";"북쪽왕관"
"Correct for light travel time: ";""
"Corvus";"까마귀"
"Crater";"컵"
"Crocodile";"악어"
"Crux";"남십자"
"Cujam";""
"Cupid";""
"Current Time :";"현재 시간 :"
"Current Time Speed is x";"현재 시간 속도는 x"
"Cursa";""
"Cursor : ";"커서 : "
"Cursor Timeout: ";"커서 타임아웃: "
"Curved Array";"구진"
"Cycle through meteor shower rates";""
"Cygnus";"백조"
"DEC";"12월"
"Dabih";""
"Danistha";""
"Date & Time";"시간 설정 "
"Date Display Format: ";"날짜 표시 형식: "
"Day";"일"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Deimos ";""
"Delphinus";"돌고래"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Dione";"디오네"
"Diphda";""
"Dipper";"남두"
"Disk Viewport";"원반 시점"
"Display Options:";""
"Distance: ";"거리: "
"Do";""
"Dog";"천구"
"Dogs";""
"Dolphin";"돌고래"
"Done";""
"Dorado";"황새치"
"Double Bubble";""
"Draco";"용"
"Dried Willow";""
"Drum";"하고"
"Drumstick";"천부"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"E";"동"
"Earth";"지구"
"Earth God's Temple";"천사"
"Eastern Door";"동함"
"Ecliptic Line";"황도"
"Edasich";""
"Effects ";"효과 "
"Egg Nebula";""
"Egyptian";"이집트"
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"허"
"Encampment";"실"
"Enceladus";"엔켈라두스"
"End Script";""
"Enif";""
"Enter observatory name";"관측소 위치를 입력하세요."
"Equator Line";"적도"
"Equatorial Grid";"적위 격자"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"조랑말"
"Eridanus";"에리다누스"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";"오류: 명령들을 저장하기 위한 스크립트 파일을 열 수 없습니다."
"Establishment";"건"
"Etamin";""
"Europa";"유로파"
"Extended Net";"장"
"FEB";"2월"
"Face On Galaxy";""
"Farmland";"천전"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"나룻배"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"오거"
"Five Feudal Kings";"오제후"
"Flail";"천배"
"Flight Duration: ";"확대 지속: "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"양 떼"
"Flying Corridor";"각도"
"Fog";"안개"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"스크린 해상도가 목록에 없으면 파일을 편집하세요 :"
"Ford";"천진"
"Fornax";"화로"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"사독"
"Fox";"안개"
"Francisco";""
"Frigate Bird";"군함새"
"Furud";""
"GO";"가기"
"Gacrux";""
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
