"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
": Exceptional Leonid rate";": Liels daudzums Leonīdiem"
": Highest rate ever (1966 Leonids)";": Augstākais Leonīdiem (1966.g)"
": Normal rate";": Normāls daudzums"
": Standard Perseids rate";": Standarta daudzums Perseīdiem"
"A'a";"Altāris"
"APR";""
"AU";"AU (astr.vien.)"
"AUG";"AU (astr.vien.)"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Altāris"
"Acrux";"Krusts"
"Actual Time";"Reālais Laiks"
"Acubens";""
"Adhafera";""
"Adhara";"Altāris"
"Adhil";""
"Administration ";"Administrācija "
"Adrastea";"Arsenāls"
"After shift key '`' (backtick):";""
"Agni";"Sūknis"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Sūknis"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Sūknis"
"Algol";""
"Algorab";"Altāris"
"Alhena";"Arsenāls"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Auns"
"Almaak";""
"Alnair";""
"Alnasl";"Sūknis"
"Alnath";""
"Alnilam";"Ērglis"
"Alnitak";"Sūknis"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Auns"
"Alrescha";"Auns"
"Alshain";""
"Also display Nebulas without textures";"Rādīt arī miglājus kuriem nav tekstūru"
"Alt/Az: ";"Az/Augst: "
"Altair";"Zvaigzne"
"Altais";""
"Alterf";""
"Altitude (m): ";"Augst.vjl.(m): "
"Altitude : ";"Augst.vjl.: "
"Aludra";"Altāris"
"Alula Australis";"Dienvidu Vainags"
"Alula Borealis";"Ziemeļu Vainags"
"Alya";"Ērglis"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Andromēda"
"Angira";"Altāris"
"Animal";"Sūknis"
"Ankaa";""
"Ant Nebula";"Sūknis"
"Antares";"Zvaigznes"
"Antialias Lines: ";""
"Antlia";"Sūknis"
"Anuradha";""
"Apus";"Paradīzes putns"
"Aquarius";"Ūdensvīrs"
"Aquila";"Ērglis"
"Ara";"Altāris"
"Arcturus";"Ūdensvīrs"
"Ardra";"Altāris"
"Are you sure ?";""
"Ariel";"Auns"
"Aries";"Auns"
"Arkab";"Altāris"
"Arneb";"Auns"
"Arrow Keys";""
"Arrow down to load list.";"Bultiņa uz leju ielādē sarakstu."
"Arsenal";"Arsenāls"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Dienvidu Vainags"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Auns"
"Asterope";""
"Atik";"Sūknis"
"Atlas";"Sūknis"
"Atmosphere";"Atmosfēra"
"Atri";"Auns"
"Atria";"Altāris"
"Augutsya";""
"Auriga";"Vedējs"
"Aurvandil's Toe";""
"Author: ";"Autors: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutālais tīkls"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Smeļamais"
"Banner of Three Stars";"Trīszvaigžņu Karogs"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Putns"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Šarons"
"Bharni";"Šarons"
"Bianca";""
"Biham";""
"Bird";"Putns"
"Blubber Container";""
"Boat";"Laiva"
"Bodies";"Vēršu Dzinējs"
"Body Labels";"Zvaigznes"
"Body Orbits";""
"Body Trails";""
"Bond";"Saites"
"Bootes";"Vēršu Dzinējs"
"Botein";"Vēršu Dzinējs"
"Bow and Arrow";"Loks un Bulta"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Buļļa priekškāja"
"CD/DVD Script: ";"CD/DVD skripts: "
"CTRL + Left Click";""
"Caelum";"Greblis"
"Calendar";""
"Caliban";"Kuģa Ķīlis"
"California Nebula";""
"Callisto";"Kalisto"
"Camelopardalis";"Žirafe"
"Campbell's Star";""
"Cancel";"Atcelt"
"Cancer";"Vēzis"
"Canes Venatici";"Medību Suņi"
"Canis Major";"Lielā dzērve"
"Canis Minor";"Mazais Suns"
"Canopus";"Urāns"
"Capella";"Greblis"
"Caph";""
"Capricornus";"Mežāzis"
"Cardinal Points";"Debess puses"
"Cared for by Moon";"Mēness Aprūpētais"
"Caribou";"Kariete"
"Carina";"Kuģa Ķīlis"
"Carme";""
"Cassiopeia";"Kasiopeja"
"Cassiopeia A";"Kasiopeja"
"Castor";"Kalisto"
"Cat's Cradle";"Kaķa Šūpulis"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentaurs"
"Center on selected object";"Parādīt izvēlēto objektu [SPACE]"
"Cepheus";"Cefejs"
"Ceres";"Cefejs"
"Cetus";"Valis"
"Chamaeleon";"Hameleons"
"Chara";"Šarons"
"Chariot";"Kariete"
"Chariot Yard";"Kariešu Parks"
"Charon";"Šarons"
"Chematy";"Krāpnieks"
"Chertan";"Šarons"
"Chi & h Per";""
"Chinese";"Ķīniešu"
"Chitra";"Kariete"
"Choose landscapes:";"Izvēlieties ainavu:"
"Circinus";"Cirkulis"
"Circular Granary";"Apaļā Klēts"
"Circumpolar Circle";"Nebulu Apļi"
"Clouds";"Krauklis"
"Coiled Thong";"Satītā Pātaga"
"Collarbones";"Zvaigznāju līnijas"
"Colors ";"Krāsas "
"Columba";"Balodis"
"Coma Berenices";"Berenikes Mati"
"Comets";"Valis"
"Command recording stopped.";"Komandu ierakstīšana pārtraukta."
"Configuration";"Konfigurācija"
"Constellation Art";"Zvaigznāju zīmējumi [R]"
"Constellation Art Intensity";"Zvaigznāju Mākslas Intensitāte"
"Constellation Boundaries";"Zvaigznāju Robežas"
"Constellation Labels";"Zvaigznāju nosaukumi"
"Constellation Lines";"Zvaigznāju līnijas"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Dienvidu Vainags"
"Corona Borealis";"Ziemeļu Vainags"
"Correct for light travel time: ";""
"Corvus";"Krauklis"
"Crater";"Kauss"
"Crocodile";"Krokodils"
"Crux";"Krusts"
"Cujam";""
"Cupid";""
"Current Time :";"Laiks šobrīd :"
"Current Time Speed is x";"Šobrīd laika ātrums ir x"
"Cursa";"Valis"
"Cursor : ";"Kursors : "
"Cursor Timeout: ";"Kursora taimauts: "
"Curved Array";"Līkumotā Rinda"
"Cycle through meteor shower rates";""
"Cygnus";"Gulbis"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Laiks un Datums"
"Date Display Format: ";"Datuma formāts: "
"Day";"Diena"
