"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
": Exceptional Leonid rate";": Buitengewoon Leoniden aantal"
": Highest rate ever (1966 Leonids)";": Hoogste aantal ooit (1966 Leoniden)"
": Normal rate";": Normale snelheid"
": Standard Perseids rate";": Standaard Perseïden aantal"
"A'a";""
"AU";"AE"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Reële Tijd"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Administratie "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Toon ook nevels zonder prenten"
"Alt/Az: ";"Hoogte : "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Hoogte (m): "
"Altitude : ";"Hoogte : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Luchtpomp"
"Anuradha";""
"Apus";"Paradijsvogel"
"Aquarius";"Waterman"
"Aquila";"Arend"
"Ara";"Altaar"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"Ram"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Neerwaartse pijl om lijst weer te geven."
"Arsenal";"Arsenaal"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosfeer"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Voerman"
"Aurvandil's Toe";""
"Author: ";"Auteur: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutaal raster"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Borgsteller"
"Banner of Three Stars";"Banier van de Drie Sterren"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Vogel"
"Blubber Container";""
"Boat";"Boot"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Band"
"Bootes";"Ossenhoeder"
"Botein";""
"Bow and Arrow";"Pijl en boog"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Stier voorpoot"
"CD/DVD Script: ";"CD/DVD script: "
"CTRL + Left Click";""
"Caelum";"Griffel"
"Calendar";""
"Caliban";""
"California Nebula";""
"Camelopardalis";"Giraffe"
"Campbell's Star";""
"Cancel";"Annuleren"
"Cancer";"Kreeft"
"Canes Venatici";"Jachthonden"
"Canis Major";"Grote Hond"
"Canis Minor";"Kleine Hond"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Steenbok"
"Cardinal Points";"Windrichtingen"
"Cared for by Moon";"Verzorgd door Maan"
"Caribou";""
"Carina";"Kiel"
"Carme";""
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Kattennest"
"Cebalrai";""
"Celaeno";""
"Center on selected object";""
"Ceres";""
"Cetus";"Walvis"
"Chamaeleon";"Kameleon"
"Chara";""
"Chariot";"Strijdwagen"
"Chariot Yard";"Strijdtoneel"
"Chertan";""
"Chi & h Per";""
"Chinese";"Chinees"
"Chitra";""
"Choose landscapes:";"Kies landschap:"
"Circinus";"Passer"
"Circular Granary";"Ronde Korenschuur"
"Circumpolar Circle";"Cirkels Nevels"
"Clouds";"Raaf"
"Coiled Thong";"Opgerolde Koord"
"Collarbones";""
"Colors ";"Kleuren "
"Columba";"Duif"
"Coma Berenices";"Haar van Berenice"
"Comets";""
"Command recording stopped.";"Registreren van commands gestopt."
"Configuration";"Configuratie"
"Constellation Art";""
"Constellation Art Intensity";"Intensiteit Sterrenbeeldtekening"
"Constellation Boundaries";"Sterrenbeeldgrenzen"
"Constellation Labels";""
"Constellation Lines";"Lijntekeningen Sterrenbeelden"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Zuiderkroon"
