"%s: Bad command line argument(s)\n";"%s: Ugyldig(e) kommandolinjeargument\n"
": Exceptional Leonid rate";"Uvanleg antal leonid meteorsverm"
": Highest rate ever (1966 Leonids)";"Høgste antal (1966 leonider)"
": Normal rate";": Normalt antal"
": Standard Perseids rate";"Vanleg antal i perseid meteorsverm"
"A'a";""
"APR";""
"AU";"AE"
"AUG";"AE"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Faktisk tid"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Administrasjon "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Vis og stjernetåker uten tilhøyrande bilete"
"Alt/Az: ";"Asimut/høgde: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Høgde (m): "
"Altitude : ";"Høgde : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Luftpumpa"
"Anuradha";""
"Apus";"Paradisfuglen"
"Aquarius";"Vatnmannen"
"Aquila";"Ørnen"
"Ara";"Altaret"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"Væren"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Pil ned for å vise liste."
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosfære"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Kusken"
"Aurvandil's Toe";""
"Author: ";"Forfattar: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Planprojisert rutenett"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Auser"
"Banner of Three Stars";"Det trestjerna banner"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Fugl"
"Blubber Container";""
"Boat";"Båt"
"Bodies";"Bjørnevaktaren"
"Body Labels";"Stjerner"
"Body Orbits";""
"Body Trails";""
"Bond";"Band"
"Bootes";"Bjørnevaktaren"
"Botein";""
"Bow and Arrow";"Pil og boge"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Forbeinet til okse"
"CD/DVD Script: ";"CD/DVD-skript: "
"CTRL + Left Click";""
"Caelum";"Meiselen"
"Calendar";""
"Caliban";""
"California Nebula";""
"Camelopardalis";"Giraffen"
"Campbell's Star";""
"Cancel";"Avbryt"
"Cancer";"Krepsen"
"Canes Venatici";"Jakthundane"
"Canis Major";"Den store hund"
"Canis Minor";"Den lille hund"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Steinbukken"
"Cardinal Points";"Himmelretningar"
"Cared for by Moon";"Tatt hand om av månen"
"Caribou";""
"Carina";"Kjølen"
"Carme";""
"Cassiopeia";"Kassiopeia"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Katteseng"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentauren"
"Center on selected object";"Sentrer valde objekt [Mellomrom]"
"Cepheus";"Kefeus"
"Ceres";""
"Cetus";"Kvalfisken"
"Chamaeleon";"Kameleonen"
"Chara";""
"Chariot";"Kampvogn"
"Chariot Yard";"Kampvognplass"
"Chertan";""
"Chi & h Per";""
"Chinese";"Kinesisk"
"Chitra";""
"Choose landscapes:";"Vel landskap:"
"Circinus";"Passaren"
"Circular Granary";"Rundt kornkammer"
"Circumpolar Circle";"Stjernetåkesirklar"
"Clouds";"Ramna"
"Coiled Thong";"Tvunnen lærreim"
"Collarbones";""
"Colors ";"Fargar "
"Columba";"Dua"
"Coma Berenices";"Hår av Berenike"
"Comets";"Kvalfisken"
"Command recording stopped.";"Kommandoregistering stoppa."
"Configuration";"Oppsett"
"Constellation Art";""
"Constellation Art Intensity";"Intensitet til stjernebilete - grafikk"
"Constellation Boundaries";"Grenser til stjernebilete"
"Constellation Labels";"Liner i stjernebilete"
"Constellation Lines";"Liner i stjernebilete"
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Den sørlege krone"
"Corona Borealis";"Den nordlege krone"
"Correct for light travel time: ";""
"Corvus";"Ramna"
"Crater";"Begeret"
"Crocodile";"Krokodille"
"Cujam";""
"Cupid";""
"Current Time :";"Gjeldande tid :"
"Current Time Speed is x";"Farten til klokka er nå x"
"Cursa";""
"Cursor : ";"Angitt stad: "
"Cursor Timeout: ";"Fjern markør etter: "
"Curved Array";"Bøygd pil"
"Cycle through meteor shower rates";""
"Cygnus";"Svana"
"DEC";""
"Dabih";""
"Danistha";""
"Date & Time";"Førehandsvald tid"
"Date Display Format: ";"Vising av dato: "
"Day";"Dag"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";"Reduser farta på klokka [J]"
"Deepsky: ";""
"Deimos ";""
"Delphinus";"Delfinen"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Ause"
"Disk Viewport";"Linseforma vising"
"Display Options:";""
"Distance: ";"Avstand: "
"Do";""
"Dog";"Hund"
"Dogs";""
"Dolphin";"Delfin"
"Done";""
"Dorado";"Gullfisken (sverdfisken)"
"Double Bubble";""
"Draco";"Draken"
"Dried Willow";""
"Drum";"Tromme"
"Drumstick";"Trommestikke"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";"Planetar"
"Dwarf irregular galaxy";""
"E";"A"
