"%s: Bad command line argument(s)\n";"%s: Argumento(s) da linha de comandos incorrecto(s)\n"
": Exceptional Leonid rate";"Taxa Excepcional de Leónidas"
": Highest rate ever (1966 Leonids)";"Taxa máxima (1966 Leónidas)"
": Normal rate";"Taxa Normal"
": Standard Perseids rate";"Taxa Padrão de Perseidas"
"A'a";""
"APR";"ABR"
"AUG";"AGO"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";""
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Administração "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Mostrar também Nebulosas sem texturas"
"Alt/Az: ";"Az/Alt: "
"Altair";""
"Altais";""
"Alterf";""
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Antlia (Máquina Pneumática)"
"Anuradha";""
"Apus";"Apus (Ave-do-Paraíso)"
"Aquarius";"Aquarius (Aquário)"
"Aquila";"Aquila (Águia)"
"Ara";"Ara (Altar)"
"Arcturus";""
"Ardra";""
"Are you sure ?";"Tem a certeza?"
"Ariel";""
"Aries";"Aries (Carneiro)"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";""
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosfera"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Auriga (Cocheiro)"
"Aurvandil's Toe";""
"Author: ";""
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Grelha Azimutal"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Fiador"
"Banner of Three Stars";"Estandarte das Três Estrelas"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Ave"
"Blubber Container";""
"Boat";"Barco"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Vínculo"
"Bootes";"Boötes (Boieiro)"
"Botein";""
"Bow and Arrow";"Arco e Flecha"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Apha Tauri"
"CD/DVD Script: ";"Script CD/DVD: "
"CTRL + Left Click";""
"Caelum";"Caelum (Cinzel)"
"Calendar";""
"Caliban";""
"California Nebula";""
"Callisto";"Calisto"
"Camelopardalis";"Camelopardalis (Girafa)"
"Campbell's Star";""
"Cancel";"Cancelar"
"Cancer";"Cancer (Caranguejo)"
"Canes Venatici";"Canes Venatici (Cães de Caça)"
"Canis Major";"Canis Major (Cão Maior)"
"Canis Minor";"Canis Minor (Cão Menor)"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Capricornus (Capricórnio)"
"Cardinal Points";"Pontos Cardeais"
"Cared for by Moon";"Guiado pela Lua"
"Caribou";""
"Carina";"Carina (Quilha)"
"Carme";""
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Berço do Gato"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Centaurus (Centauro)"
"Center on selected object";""
"Cepheus";"Cepheus (Cefeu)"
"Ceres";""
"Cetus";"Cetus (Baleia)"
"Chamaeleon";"Chamaeleon (Camaleão)"
"Chara";""
"Chariot";"Quadriga"
"Chariot Yard";"Pátio das Quadrigas"
"Charon";"Caronte"
"Chertan";""
"Chi & h Per";""
"Chinese";""
"Chitra";""
"Choose landscapes:";"Escolher paisagens:"
"Circinus";"Circinus (Compasso)"
"Circular Granary";"Celeiro Circular"
"Circumpolar Circle";""
"Clouds";"Corvus (Corvo)"
"Coiled Thong";"Correia em Espiral"
"Collarbones";""
"Colors ";"Cores "
"Columba";"Columba (Pomba)"
"Coma Berenices";"Coma Berenices (Cabeleira de Berenice)"
"Comets";""
"Command recording stopped.";"Comando de gravação parado."
"Configuration";"Configuração"
"Constellation Art";""
"Constellation Art Intensity";""
"Constellation Boundaries";""
"Constellation Labels";""
"Constellation Lines";""
"Cor Caroli";""
"Cordelia";""
"Corona Australis";"Corona Australis (Coroa Austral)"
"Corona Borealis";"Corona Borealis (Coroa Boreal)"
"Correct for light travel time: ";""
"Corvus";"Corvus (Corvo)"
"Crater";"Crater (Taça)"
"Crocodile";"Crocodilo"
"Crux";"Crux (Cruzeiro do Sul)"
"Cujam";""
"Cupid";""
"Current Time :";"Hora Actual :"
"Current Time Speed is x";"A Velocidade do tempo actual é x"
"Cursa";""
"Cursor Timeout: ";"Tempo do Cursor: "
"Curved Array";"Conjunto Arqueado"
"Cycle through meteor shower rates";""
"Cygnus";"Cygnus (Cisne)"
"DEC";"DEZ"
"Dabih";""
"Danistha";""
"Date & Time";"Acertar a Hora "
"Date Display Format: ";"Formatar o Mostrador de Data: "
"Day";"Dia"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Deimos ";""
"Delphinus";"Delphinus (Delfim)"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Desdemona";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Mergulhão"
"Disk Viewport";"Visão em Disco"
"Display Options:";""
"Distance: ";"Distância: "
"Do";""
"Dog";"Cão"
"Dogs";""
"Dolphin";"Golfinho"
"Done";""
"Dorado";"Dorado (Dourado)"
"Double Bubble";""
"Draco";"Draco (Dragão)"
"Dried Willow";""
"Drum";"Tambor"
"Drumstick";"Baqueta"
"Dschubba";""
"Dubhe";""
"During Script Playback:";""
"Dwarf Planets";""
"Dwarf irregular galaxy";""
"Earth";"Terra"
"Earth God's Temple";"Templo de Deus na Terra"
"Eastern Door";"Porta Oriental"
"Ecliptic Line";"Linha Eclíptica"
"Edasich";""
"Effects ";"Efeitos "
"Egg Nebula";""
"Egyptian";""
"Einstein Cross";""
"Elara";""
"Electra";""
"Elk";""
"Emptiness";"Vazio"
"Encampment";"Acampamento"
"Enceladus";"Encelado"
"End Script";""
"Enif";""
"Enter observatory name";"Escreva o nome do Observatório"
"Equator Line";"Linha do Equador"
"Equatorial Grid";"Grelha Equatorial"
"Equatorial/Altazimuthal Mount";""
"Equatorial/altazimuthal mount";""
"Equuleus";"Equuleus (Potro)"
"Eridanus";"Eridanus (Rio)"
"Eris";""
"Errai";""
"Error: Unable to open script file to record commands.";"Erro: Impossível abrir ficheiro de script para gravação de comandos."
"Establishment";"Estabelecimento"
"Etamin";""
"Extended Net";"Rede Estendida"
"FEB";"FEV"
"Face On Galaxy";""
"Farmland";"Quinta"
"Fast Forward Script";""
"Favdna";""
"Favdna's Bow and Arrow";""
"Ferdinand";""
"Ferry Boat";"Ferry (Cacilheiro)"
"Fireplace";""
"First Big One";""
"First Slim One";""
"Five Chariots";"Cinco Quadrigas"
"Five Feudal Kings";"Cinco Reis Feudais"
"Flail";"Estrela da Manhã"
"Flight Duration: ";"Duração do Zoom "
"Flip Horizontally";""
"Flip Vertically";""
"Flock";"Manada"
"Flying Corridor";"Corredor Aéreo"
"Fog";"Nevoeiro"
"Fomalhaut";""
"For unlisted screen resolution, edit the file :";"Para resolução não listada, editar o ficheiro :"
"Ford";"Vau"
"Fornax";"Fornax (Fornalha)"
"Forward 24 Hours";""
"Forward 7 Days";""
"Four Channels";"Quatro Canais"
"Fox";"Nevoeiro"
"Francisco";""
"Frigate Bird";"Fragata"
"Furud";""
"GO";"Ir"
"Gacrux";""
"Galactic Grid";""
"Galatea";""
"Galaxy spiral arms";""
"Galla";""
"Galla's Sons";""
"Ganymede";"Ganímedes"
"Gemini";"Gemini (Gémeos)"
"General ";"Geral "
"Ghosts";"Fantasmas"
"Giant";"Gigante"
"Giausar";""
"Gienah";""
"Girl";"Rapariga"
"Girtab";""
"Globular Cluster Ara";""
"Go to Selected Body";""
"Gomeisa";""
"Good Gourd";"Boa Cabaça"
"Great General";"Grande General"
"Ground";"Superfície"
"Grumium";""
"Grus";"Grus (Grou)"
"Guide star";""
"H II LMC";""
"Hadar";""
"Halimede";""
"Hamal";""
"Hand";""
"Hasta";""
"Hawaiki";""
"Heading: ";""
"Heart";"Coração"
"Help";"Ajuda"
"Hercules";"Hércules"
"Herder";""
"Hiki-analia";""
"Hiku-ha";""
"Hiku-kahi";""
"Hiku-kolu";""
"Hiku-lima";""
"Hiku-lua";""
"Hiku-ono";""
"Hiku-pau";""
"Himalia";""
"Hindu";""
"Hippopotamus";"Hipopótamo"
"Hit CTRL-R again to stop.\n";"Pressione CTRL-R novamente para parar.\n"
"Hoku'ula";""
"Hokule'a";""
"Hokulei";""
"Hokupa'a";""
"Holopuni";""
"Homan";""
"Hook";"Gancho"
"Horn";"Corno"
"Horologium";"Horologium (Relógio)"
"Horus";"Hórus"
"Hour";"Hora"
"Hubble Deep Field";""
"Hubble Ultra Deep Field";""
"Hubble V";""
"Hubble X";""
"Humu";""
"Hydra";"Hydra (Hidra)"
"Hydrus";"Hydrus (Hidro)"
"Hyperion";"Hipérion"
"IC434 & Horse Head Nebula";""
"Iapetus";"Japeto"
"Imperial Guards";"Guardas Imperiais"
"Imperial Passageway";"Passagem Imperial"
"Increase Time Rate";""
"Indus";"Indus (Índio)"
"Info: ";""
"Information";"Informação"
"Interacting Galaxies";""
"Internal Script: ";""
"Inuit";""
"Inuit (color)";""
"Invalid Script command";"Comando Script inválido"
"Izar";""
"Jade Well";"Poço de Jade"
"Jaw";"Maxilar"
"Juliet";""
"Jupiter";"Júpiter"
"Jyeshtha";""
"Ka-maile-hope";""
"Ka-maile-mua";""
"Ka_Maka";""
"Kaalpurush";""
"Kapteyn's Star";""
"Kaulia";""
"Kaulua-koko";""
"Kaus Australis";""
"Kaus Borealis";""
"Kaus Media";""
"Ke_ali'i_o_kona_i_ka_lewa";""
"Keid";""
"Keoe";""
"Keyhole Nebula";""
"Khanuwy Fish";"Peixe Khanuwy"
"Kitalpha";""
"Kitchen";"Cozinha"
"Kite of Kawelo";"Papagaio de Kawelo"
"Kocab";""
"Kornephoros";""
"Kratu";""
"Kritika";""
"Kruger 60";""
"Kuiper Belt Objects";""
"Kurhah";""
"LMC Supernova Remnant";""
"Lacerta";"Lacerta (Lagartixa)"
"Laghu Saptrishi";""
"Lakota";""
"Lamp Stand";""
"Lance";"Lança"
"Landscape: ";"Paisagem: "
