"%s: Bad command line argument(s)\n";"%s: Linia de comandă conține comenzi greșite.\n"
": Exceptional Leonid rate";": Rata excepțională a Leonidelor"
": Highest rate ever (1966 Leonids)";": Rata record (Leonidele 1966)"
": Normal rate";": Rata normală"
": Standard Perseids rate";": Rata standard a Perseidelor"
"A'a";""
"APR";""
"AU";"u.a."
"AUG";""
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";""
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Administrare "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Afișează și nebuloasele fără texturi"
"Alt/Az: ";"Az/Alt: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Altitudine (m): "
"Altitude : ";"Altitudine : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Angira";""
"Animal";""
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Pompa cu aer"
"Anuradha";""
"Apus";"Pasărea Paradisului"
"Aquarius";"Vărsătorul"
"Aquila";"Acvila"
"Ara";"Altarul"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"Berbecul"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";""
"Arsenal";"Arsenalul"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosferă"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Vizitiul"
"Aurvandil's Toe";""
"Author: ";""
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Tabel azimutal"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Liberatorul"
"Banner of Three Stars";"Stindardul celor Trei Stele"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Pasărea"
"Blubber Container";""
"Boat";"Barca"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Legătura"
"Bootes";"Ursul conducător"
"Botein";""
"Bow and Arrow";"Arcul cu Săgeată"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Piciorul Taurului"
"CD/DVD Script: ";"Scriptul pentru CD/DVD: "
"CTRL + Left Click";""
"Caelum";"Dalta"
"Calendar";""
"Caliban";""
"California Nebula";""
"Camelopardalis";"Girafa"
"Campbell's Star";""
"Cancel";"Renunță"
"Cancer";"Racul"
"Canes Venatici";"Câinii de Vânătoare"
"Canis Major";"Câinele Mare"
"Canis Minor";"Câinele Mic"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Capricornul"
"Cardinal Points";"Puncte cardinale"
"Cared for by Moon";"În Grija Lunii"
"Caribou";""
"Carina";"Carena"
"Carme";""
"Cassiopeia";"Casiopeia"
"Cassiopeia A";""
"Castor";""
"Cat's Cradle";"Coșul Pisicii"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Centaurul"
"Center on selected object";""
