"%s: Bad command line argument(s)\n";"%s: Nesprávne argumenty príkazu\n"
": Exceptional Leonid rate";": Mimoriadna intenzita Leoníd"
": Highest rate ever (1966 Leonids)";": Najvyššia známa intenzita (Leonidy 1966)"
": Normal rate";": Normálna intenzita"
": Standard Perseids rate";": Štandardná intenzita Perzeíd"
"A'a";""
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Aktuálny čas"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Administrácia "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Zobraziť aj hmloviny bez textúr"
"Alt/Az: ";"Azimut/Výška: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Výška (m): "
"Altitude : ";"Výška : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Ananke";""
"Ancha";""
"Andromeda";"Androméda"
"Angira";""
"Animal";"Zviera"
"Ankaa";""
"Ant Nebula";"Hmlovina Ant"
"Antares";""
"Antialias Lines: ";""
"Antlia";"Výveva"
"Anuradha";""
"Apus";"Rajka"
"Aquarius";"Vodnár"
"Aquila";"Orol"
"Ara";"Oltár"
"Arcturus";""
"Ardra";""
"Are you sure ?";"Ste si istý?"
"Aries";"Baran"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Stlač šipku dolu pre nahratie zoznamu."
"Arsenal";"Zbrojnica"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosféra"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Povozník"
"Aurvandil's Toe";""
"Author: ";"Autor: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutálna mriežka"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Vkladateľ"
"Banner of Three Stars";"Vlajka troch hviezd"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";"Medvedí brloh"
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Biham";""
"Bird";"Vták"
"Blubber Container";"Kontajner na tuk"
"Boat";"Loď"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Putá"
"Bootes";"Pastier"
"Botein";""
"Bow and Arrow";"Luk a šíp"
"Brahamhridya";""
"Breastbone";""
"Bull's Foreleg";"Predné nohy býka"
"CD/DVD Script: ";"Skript z CD/DVD: "
"CTRL + Left Click";""
"Caelum";"Rydlo"
"Calendar";"Kalendár"
"Caliban";""
"California Nebula";"Hmlovina Kalifornia"
"Camelopardalis";"Žirafa"
"Campbell's Star";""
"Cancel";"Zrušiť"
"Cancer";"Rak"
"Canes Venatici";"Poľovné psy"
"Canis Major";"Veľký pes"
"Canis Minor";"Malý pes"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Kozorožec"
"Cardinal Points";"Svetové strany"
"Cared for by Moon";"Obľúbené  Mesiacom"
"Caribou";""
"Carina";"Kýl"
"Carme";""
"Cassiopeia";"Kasiopeja"
"Cassiopeia A";"Kasiopea A"
"Castor";""
"Cat's Cradle";"Mačacia kolíska"
"Cebalrai";""
"Celaeno";""
"Centaurus";"Kentaur"
"Center on selected object";""
"Cepheus";"Cefeus"
"Cetus";"Veľryba"
"Chamaeleon";"Chameleón"
"Chara";""
"Chariot";"Voz"
"Chariot Yard";"Vozová dieľňa"
"Charon";"Charón"
"Chertan";""
"Chi & h Per";""
"Chinese";"Čínska"
"Chitra";""
"Choose landscapes:";"Zvoľ okolitú krajinu:"
"Circinus";"Kružidlo"
"Circular Granary";"Okrúhla sýpka"
"Circumpolar Circle";"Kruhy hmlovín"
"Clouds";"Havran"
"Coiled Thong";"Zvinutý remeň"
"Collarbones";"Kľúčne kosti"
"Colors ";"Farby "
"Columba";"Holubica"
"Coma Berenices";"Vlasy Bereniky"
"Comets";""
"Command recording stopped.";"Záznamenávanie príkazov ukončené."
"Configuration";"Nastavenia"
"Constellation Art";"Obrázky súhvezdí"
"Constellation Art Intensity";"Intenzita kresieb súhvezdí"
"Constellation Boundaries";"Hranice súhvezdí"
"Constellation Labels";""
"Constellation Lines";"Čiary súhvezdí"
"Cor Caroli";""
"Corona Australis";"Južná koruna"
"Corona Borealis";"Severná koruna"
"Correct for light travel time: ";""
"Corvus";"Havran"
"Crater";"Pohár"
"Crocodile";"Krokodíl"
"Crux";"Južný kríž"
"Cujam";""
"Cupid";""
"Current Time :";"Aktuálny čas :"
"Current Time Speed is x";"Rýchlosť času je x"
"Cursa";""
"Cursor : ";"Kurzor : "
"Cursor Timeout: ";"Miznutie kurzora (sekundy): "
"Curved Array";"Krivé pole"
"Cycle through meteor shower rates";""
"Cygnus";"Labuť"
"Dabih";""
"Danistha";""
"Date & Time";"Dátum a čas"
"Date Display Format: ";"Formát zobrazovania dátumu: "
"Day";"deň"
"Day keys: ";""
"Day star";""
"Decrease Time Rate";""
"Deepsky: ";""
"Delphinus";"Delfín"
"Deneb";""
"Deneb Algedi";""
"Denebola";""
"Despina";""
"Dhanishtha-1";""
"Dhanishtha-2";""
"Dhruv";""
"Dialogs and Other Controls:";""
"Dilyehe";""
"Diphda";""
"Dipper";"Potápka"
"Disk Viewport";"Orezať pohľad"
"Display Options:";""
"Distance: ";"Vzdialenosť: "
"Do";"Urobiť"
"Dog";"Pes"
"Dogs";"Psy"
"Dolphin";"Delfín"
"Done";"Hotovo"
