"%s: Bad command line argument(s)\n";"%s: Yanlış komut satırı parametresi\n"
": Exceptional Leonid rate";": İstisnai Leonid hızı"
": Highest rate ever (1966 Leonids)";": Şimdiye kadarki en yüksek hız (1966 Leonids)"
": Normal rate";"Normal hız"
": Standard Perseids rate";": Standart Perseids meteor yağmuru oranı"
"A'a";""
"APR";""
"AUG";""
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";""
"Acrux";""
"Actual Time";"Şu anki zaman"
"Acubens";""
"Adhafera";""
"Adhara";""
"Adhil";""
"Administration ";"Yönetim "
"Adrastea";""
"After shift key '`' (backtick):";""
"Agni";""
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";""
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";""
"Algol";""
"Algorab";""
"Alhena";""
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";""
"Almaak";""
"Alnair";""
"Alnasl";""
"Alnath";""
"Alnilam";""
"Alnitak";""
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";""
"Alrescha";""
"Alshain";""
"Also display Nebulas without textures";"Dokusuz bulutsuları da göster"
"Alt/Az: ";"Az/Alt: "
"Altair";""
"Altais";""
"Alterf";""
"Altitude (m): ";"Rakım (m): "
"Altitude : ";"Rakım : "
"Aludra";""
"Alula Australis";""
"Alula Borealis";""
"Alya";""
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Zincirli Prenses"
"Angira";""
"Animal";"Hayvan"
"Ankaa";""
"Ant Nebula";""
"Antares";""
"Antialias Lines: ";""
"Antlia";"Pompa"
"Anuradha";""
"Apus";"Cennet Kuşu"
"Aquarius";"Kova"
"Aquila";"Kartal"
"Ara";"Sunak"
"Arcturus";""
"Ardra";""
"Are you sure ?";""
"Ariel";""
"Aries";"Koç"
"Arkab";""
"Arneb";""
"Arrow Keys";""
"Arrow down to load list.";"Listeyi görüntülemek için aşağı yön tuşuna basın."
"Arsenal";"Cephanelik"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";""
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";""
"Asterope";""
"Atik";""
"Atlas";""
"Atmosphere";"Atmosfer"
"Atri";""
"Atria";""
"Augutsya";""
"Auriga";"Arabacı"
"Aurvandil's Toe";""
"Author: ";"Yazar: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Azimutal İzdüşüm"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Kefil"
"Banner of Three Stars";"Üç Yıldızlı Bayrak"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";"Ayı İni"
"Beid";""
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";""
"Bharni";""
"Bianca";""
"Biham";""
"Bird";"Kuş"
"Blubber Container";"Donyağı Kırbası"
"Boat";"Tekne"
"Bodies";""
"Body Labels";""
"Body Orbits";""
"Body Trails";""
"Bond";"Bağ"
"Bootes";"Çoban"
"Botein";""
"Bow and Arrow";"Ok ve Yay"
"Brahamhridya";""
"Breastbone";"Kaburga Kemiği"
"Bull's Foreleg";"Boğanın Ön Ayağı"
"CD/DVD Script: ";"CD/DVD Betikleri: "
"CTRL + Left Click";""
"Caelum";"Çelikkalem"
"Calendar";""
"Caliban";""
"California Nebula";""
"Camelopardalis";"Zürafa"
"Campbell's Star";""
"Cancel";"Vazgeç"
"Cancer";"Yengeç"
"Canes Venatici";"Av Köpekleri"
"Canis Major";"Büyük Köpek"
"Canis Minor";"Küçük Köpek"
"Canopus";""
"Capella";""
"Caph";""
"Capricornus";"Oğlak"
"Cardinal Points";"Ana Yönler"
"Cared for by Moon";"Aya Adanmış"
"Caribou";"Karibu Geyiği"
"Carina";"Karina"
"Carme";""
