"%s: Bad command line argument(s)\n";"%s: (Các) đối số trong dòng lệnh sai\n"
": Exceptional Leonid rate";": Mật độ mưa sao băng Leonid khác thường"
": Highest rate ever (1966 Leonids)";": Mật độ cao nhất đã từng có (mưa sao băng Leonids 1966)"
": Normal rate";": Tốc độ bình thường"
": Standard Perseids rate";": Tốc độ mưa sao băng Perseids"
"A'a";"Đàn Tế Thần"
"APR";""
"AU";"Đơn vị thiên văn"
"AUG";"Đơn vị thiên văn"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"Đàn Tế Thần"
"Acrux";"Thập Tự Phương Nam"
"Actual Time";"Thời gian thực"
"Acubens";""
"Adhafera";""
"Adhara";"Đàn Tế Thần"
"Adhil";""
"Administration ";"Quản trị "
"Adrastea";"Kho chứa vũ khí"
"After shift key '`' (backtick):";""
"Agni";"Máy Bơm Không Khí"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"Máy Bơm Không Khí"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"Máy Bơm Không Khí"
"Algol";""
"Algorab";"Đàn Tế Thần"
"Alhena";"Kho chứa vũ khí"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"Bạch Dương"
"Almaak";""
"Alnair";""
"Alnasl";"Máy Bơm Không Khí"
"Alnath";""
"Alnilam";"Đại Bàng"
"Alnitak";"Máy Bơm Không Khí"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"Bạch Dương"
"Alrescha";"Bạch Dương"
"Alshain";""
"Also display Nebulas without textures";"Cũng hiển thị những đám tinh vân không có hình chụp"
"Alt/Az: ";"Độ phương/Độ cao: "
"Altair";"Ngôi sao"
"Altais";""
"Alterf";""
"Altitude (m): ";"Độ cao (mét): "
"Altitude : ";"Độ cao : "
"Aludra";"Đàn Tế Thần"
"Alula Australis";"Nam Miện"
"Alula Borealis";"Bắc Miện"
"Alya";"Đại Bàng"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"Tiên Nữ"
"Angira";"Đàn Tế Thần"
"Animal";"Máy Bơm Không Khí"
"Ankaa";""
"Ant Nebula";"Máy Bơm Không Khí"
"Antares";"Các vì sao"
"Antialias Lines: ";""
"Antlia";"Máy Bơm Không Khí"
"Anuradha";""
"Apus";"Chim Thiên Đường"
"Aquarius";"Bảo Bình"
"Aquila";"Đại Bàng"
"Ara";"Đàn Tế Thần"
"Arcturus";"Bảo Bình"
"Ardra";"Đàn Tế Thần"
"Are you sure ?";""
"Ariel";"Bạch Dương"
"Aries";"Bạch Dương"
"Arkab";"Đàn Tế Thần"
"Arneb";"Bạch Dương"
"Arrow Keys";""
"Arrow down to load list.";"Nhấn phím mủi tên xuống để tải danh sách."
"Arsenal";"Kho chứa vũ khí"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"Nam Miện"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"Bạch Dương"
"Asterope";""
"Atik";"Máy Bơm Không Khí"
"Atlas";"Máy Bơm Không Khí"
"Atmosphere";"Khí quyển"
"Atri";"Bạch Dương"
"Atria";"Đàn Tế Thần"
"Augutsya";""
"Auriga";"Ngự Phu"
"Aurvandil's Toe";""
"Author: ";"Tác giả: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"Lưới phương vị"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"Gàu tát nước"
"Banner of Three Stars";"Ngọn cờ ba sao"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Chim"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"Charon"
"Bharni";"Charon"
"Bianca";""
"Biham";""
"Bird";"Chim"
"Blubber Container";""
"Boat";"Thuyền"
