"%s: Bad command line argument(s)\n";"%s: 命令語法不正確\n"
": Exceptional Leonid rate";": 獅子座流星雨"
": Highest rate ever (1966 Leonids)";": 獅子座流星暴 (1966年標準)"
": Normal rate";": 一般夜晚"
": Standard Perseids rate";": 英仙座流星雨"
"A'a";"天壇座"
"APR";""
"AU";"天文單位"
"AUG";"天文單位"
"Abhijeet";""
"About";""
"Acamar";""
"Achernar";""
"Acrab";"天壇座"
"Acrux";"南十字座"
"Actual Time";"實際時間"
"Acubens";""
"Adhafera";""
"Adhara";"天壇座"
"Adhil";""
"Administration ";"管理設定 "
"Adrastea";"庫樓"
"After shift key '`' (backtick):";""
"Agni";"唧筒座"
"Ain";""
"Al Niyat";""
"Albali";""
"Albireo";""
"Alchiba";"唧筒座"
"Alcor";""
"Alcyone";""
"Aldebaran";""
"Alderamin";""
"Alfirk";""
"Algedi";""
"Algenib";""
"Algieba";"唧筒座"
"Algol";""
"Algorab";"天壇座"
"Alhena";"庫樓"
"Alioth";""
"Alkaid";""
"Alkalurops";""
"Alkes";"牡羊座"
"Almaak";""
"Alnair";""
"Alnasl";"唧筒座"
"Alnath";""
"Alnilam";"天鷹座"
"Alnitak";"唧筒座"
"Alphard";""
"Alphekka";""
"Alpheratz";""
"Alrakis";"牡羊座"
"Alrescha";"牡羊座"
"Alshain";""
"Also display Nebulas without textures";"顯示無插圖之星雲"
"Alt/Az: ";"地平經度/地平緯度: "
"Altair";"星宿"
"Altais";""
"Alterf";""
"Altitude (m): ";"海拔: "
"Altitude : ";"海拔: "
"Aludra";"天壇座"
"Alula Australis";"南冕座"
"Alula Borealis";"北冕座"
"Alya";"天鷹座"
"Amalthea";""
"Ananke";""
"Ancha";""
"Andromeda";"仙女座"
"Angira";"天壇座"
"Animal";"唧筒座"
"Ankaa";""
"Ant Nebula";"唧筒座"
"Antares";"恆星"
"Antialias Lines: ";""
"Antlia";"唧筒座"
"Anuradha";""
"Apus";"天燕座"
"Aquarius";"寶瓶座"
"Aquila";"天鷹座"
"Ara";"天壇座"
"Arcturus";"寶瓶座"
"Ardra";"天壇座"
"Are you sure ?";""
"Ariel";"牡羊座"
"Aries";"牡羊座"
"Arkab";"天壇座"
"Arneb";"牡羊座"
"Arrow Keys";""
"Arrow down to load list.";"按向下鍵以選取劇本"
"Arsenal";"庫樓"
"Artificial Satellites";""
"Ascella";""
"Asellus Australis";"南冕座"
"Asellus Borealis";""
"Ashwani";""
"Ashwini";""
"Aslesha";""
"Aspidiske";""
"Asteroids";"牡羊座"
"Asterope";""
"Atik";"唧筒座"
"Atlas";"唧筒座"
"Atmosphere";"大氣"
"Atri";"牡羊座"
"Atria";"天壇座"
"Augutsya";""
"Auriga";"御夫座"
"Aurvandil's Toe";""
"Author: ";"作者: "
"Avior";""
"Azelfafage";""
"Azha";""
"Azimuthal Grid";"地平座標系統"
"Babcock's Star";""
"Baby Llama";""
"Back 24 Hours";""
"Back 7 Days";""
"Bailer";"馬卡力之瓢"
"Banner of Three Stars";"參旗"
"Barnard's Star";""
"Basis: ";""
"Baten Kaitos";""
"Bear's Lodge";""
"Beid";"Bird"
"Belinda";""
"Bellatrix";""
"Bernes 135";""
"Betelgeuse";""
"Bharani";"冥衛一 (夏龍)"
"Bharni";"冥衛一 (夏龍)"
"Bianca";""
"Biham";""
"Blubber Container";""
"Bodies";"牧夫座"
"Body Labels";"恆星"
"Body Orbits";""
"Body Trails";""
"Bond";"婁宿"
"Bootes";"牧夫座"
"Botein";"牧夫座"
"Bow and Arrow";"弧矢"
"Brahamhridya";""
"Breastbone";""
"CD/DVD Script: ";"CD/DVD劇本: "
"CTRL + Left Click";""
"Caelum";"雕具座"
"Calendar";""
"Caliban";"船底座"
"California Nebula";""
"Callisto";"木衛四 (卡利斯托)"
"Camelopardalis";"鹿豹座"
"Campbell's Star";""
"Cancel";"取消"
"Cancer";"巨蟹座"
"Canes Venatici";"獵犬座"
"Canis Major";"大犬座"
"Canis Minor";"小犬座"
"Canopus";"天王星"
"Capella";"雕具座"
"Caph";""
"Capricornus";"摩羯座"
"Cardinal Points";"方位基點"
"Cared for by Moon";"月眷之佑"
"Caribou";"軫宿"
"Carina";"船底座"
"Carme";""
"Cassiopeia";"仙后座"
"Cassiopeia A";"仙后座"
"Castor";"木衛四 (卡利斯托)"
"Cat's Cradle";"童兒花繩"
"Cebalrai";""
"Celaeno";""
"Centaurus";"半人馬座"
"Center on selected object";"移至選取天體 [SPACE]"
"Cepheus";"仙王座"
"Ceres";"仙王座"
"Cetus";"鯨魚座"
"Chamaeleon";"蝘蜓座"
"Chara";"冥衛一 (夏龍)"
"Chariot";"軫宿"
"Chariot Yard";"車府"
"Charon";"冥衛一 (夏龍)"
"Chertan";"冥衛一 (夏龍)"
"Chi & h Per";""
"Chinese";"中國"
"Chitra";"軫宿"
"Choose landscapes:";"選擇背景:"
"Circinus";"圓規座"
"Circular Granary";"天囷"
"Circumpolar Circle";"星雲標示"
"Clouds";"烏鴉座"
"Coiled Thong";"貫索"
"Collarbones";"星座連線"
"Colors ";"顏色設定 "
"Columba";"天鴿座"
"Coma Berenices";"后髮座"
"Comets";"鯨魚座"
"Command recording stopped.";"指令碼記錄已停止"
"Configuration";"設定"
"Constellation Art";"星座插畫 [R]"
"Constellation Art Intensity";"星座插畫密度"
